date,stock_immediate_equity,stock_pullback_equity,etf_dca_equity,etf_buy_hold_norm
2022-01-23,473442.4570234801,547499.0154179701,409039.51417724,0.8163398692810457
2022-01-24,469555.4670234801,538338.4954179701,406419.59417724004,0.8111111111111111
2022-01-25,470750.4170234802,549474.0954179701,405109.63417723996,0.8084967320261437
2022-01-26,469516.3170234801,549415.7954179702,402489.71417724,0.8032679738562091
2022-01-30,457389.01702348003,494548.65541797015,401179.75417724,0.8006535947712418
2022-01-31,471009.63702348014,510264.51541797013,399542.30417724,0.7973856209150326
2022-02-01,484944.70994060003,536231.0321976602,410339.06857799005,0.7999999999999999
2022-02-02,489905.9299406,567375.06219766,413691.46857799,0.8065359477124182
2022-02-03,489269.92994060006,575746.76469066,416708.62857799005,0.8124183006535947
2022-02-06,492590.2799406001,574848.2746906601,415032.4285779901,0.8091503267973856
2022-02-07,490809.3599406001,574881.57469066,416708.62857799005,0.8124183006535947
2022-02-08,493821.4499406,582504.73469066,411680.02857799,0.8026143790849672
2022-02-09,498281.3399406001,599150.9446906601,411009.54857799003,0.8013071895424836
2022-02-10,495668.4499406001,591167.50469066,413356.22857799,0.8058823529411764
2022-02-13,485212.5199406001,596863.7246906601,412685.74857799005,0.8045751633986928
2022-02-14,477624.50994060014,593424.68469066,407657.14857799007,0.7947712418300653
2022-02-15,484189.6999406001,599064.6146906601,406651.4285779901,0.7928104575163398
2022-02-16,486554.2399406001,597078.3446906602,412015.26857799,0.8032679738562091
2022-02-17,485922.43994060013,599578.0846906602,412015.26857799,0.8032679738562091
2022-02-20,479043.43994060013,587192.9646906601,411009.54857799003,0.8013071895424836
2022-02-21,479525.66994060006,583217.5446906602,404975.22857799,0.7895424836601307
2022-02-22,481734.6099406001,573375.3946906601,409668.5885779901,0.7986928104575164
2022-02-23,486594.97994060005,593034.1946906602,402628.54857799003,0.7849673202614379
2022-02-24,461626.21994060004,563021.6246906602,402628.54857799003,0.7849673202614379
2022-02-27,476594.6199406,592177.7946906602,388213.22857799,0.7568627450980392
2022-02-28,474613.8999406001,594408.50469066,398270.4285779901,0.7764705882352941
2022-03-01,493663.52219247003,610610.5919125301,406091.81645113,0.7738562091503267
2022-03-03,492659.28219247004,610354.9519125301,407806.71645113005,0.777124183006536
2022-03-06,486649.68219247,606017.8019125301,411922.47645113,0.7849673202614379
2022-03-07,479106.32219247014,588912.60191253,404376.91645113,0.7705882352941176
2022-03-08,470063.61219247,582688.8119125301,389971.75645113,0.7431372549019607
2022-03-09,469496.59219247004,579470.3919125301,378996.39645113004,0.7222222222222222
2022-03-10,469403.09219247004,579960.3219125301,379682.35645113,0.7235294117647059
2022-03-13,466007.12219247,581164.38191253,381054.27645113,0.7261437908496732
2022-03-14,464708.24219247006,580081.76191253,381740.23645113007,0.7274509803921568
2022-03-15,456710.2521924701,572442.8319125301,379682.35645113,0.7235294117647059
2022-03-16,471765.1421924701,571338.25191253,379682.35645113,0.7235294117647059
2022-03-17,471025.3021924701,561756.4019125301,389971.75645113,0.7431372549019607
2022-03-20,476410.19219246996,571247.22191253,390657.71645113005,0.7444444444444445
2022-03-21,496161.6021924701,596876.5919125301,399575.19645113003,0.761437908496732
2022-03-22,495743.04219247005,598138.87191253,421525.91645113,0.8032679738562091
2022-03-23,505684.67219247005,602044.2219125303,424612.73645113007,0.8091503267973856
2022-03-24,500787.3421924701,593487.7719125301,427356.57645113004,0.8143790849673203
2022-03-27,487625.6421924701,537195.2019125301,425984.65645113,0.8117647058823529
2022-03-28,475370.0421924701,527386.5219125301,420153.99645113,0.8006535947712418
2022-03-29,474806.7821924701,511069.10191253014,409178.63645113003,0.7797385620915032
2022-03-30,469110.07219247,501827.9919125302,414666.31645113,0.7901960784313725
2022-03-31,473015.59219247004,506987.6119125301,409178.63645113003,0.7797385620915032
2022-04-03,495191.3499635501,542664.0230109501,418941.01792971004,0.7797385620915032
2022-04-04,498427.65996355,545737.3130109501,430880.45792971004,0.8019607843137254
2022-04-05,489205.0499635501,539539.8330109501,429475.81792971,0.7993464052287581
2022-04-06,488433.39996355004,533024.3730109502,427368.85792971,0.7954248366013071
2022-04-07,484259.0799635501,524379.3930109502,426315.3779297101,0.7934640522875817
2022-04-10,473412.9399635501,512460.87250675017,417887.53792971006,0.7777777777777778
2022-04-11,469195.4199635501,503159.72250675014,410513.17792971,0.7640522875816993
2022-04-12,470251.32996355003,496213.37250675017,404192.29792971,0.7522875816993464
2022-04-13,470178.58996355004,501442.0725067501,410513.17792971,0.7640522875816993
2022-04-14,452714.35996355006,476365.5725067502,408406.21792971005,0.7601307189542483
2022-04-17,448549.1199635501,484224.9525067502,402436.4979297101,0.7490196078431373
2022-04-18,452986.16996355006,492146.47985569015,403489.97792971006,0.7509803921568627
2022-04-19,456645.7899635501,485140.55985569017,404543.45792971004,0.7529411764705882
2022-04-20,454576.78996355005,481915.90985569014,403841.13792971004,0.7516339869281046
2022-04-27,462469.28996355005,481795.70985569013,406299.25792971003,0.7562091503267974
2022-04-28,478314.22996355005,509688.23985569016,407703.89792971,0.7588235294117647
2022-05-08,482036.1762970601,514061.87057496014,430019.83745751006,0.7816993464052288
2022-05-09,475903.15629706,504172.49057496013,432177.07745751,0.7856209150326797
2022-05-10,471318.9962970601,503583.4505749601,423907.65745751,0.7705882352941176
2022-05-11,476100.76629706006,514066.7305749602,421031.33745751006,0.7653594771241831
