symbol,date,factor_date,sector,factor_score,score_momentum,score_value,score_quality,score_growth,score_low_risk,score_liquidity,has_fundamentals,fundamental_filing_date,fundamental_row_age_days
HELI,2023-02-28,2023-03-01,real_estate,0.6192640692640694,0.720779220779221,0.4666666666666667,0.7,0.681818181818182,0.15151515151515155,0.8636363636363636,True,2022-11-29,91.0
HELI,2023-03-30,2023-04-02,real_estate,0.6516233766233768,0.7402597402597403,0.5333333333333334,0.75,0.7590909090909091,0.10606060606060605,0.8636363636363636,True,2023-03-01,29.0
HELI,2023-04-30,2023-05-01,real_estate,0.5450487012987013,0.42857142857142866,0.5333333333333334,0.8166666666666667,0.46477272727272734,0.13636363636363638,0.8636363636363636,True,2023-03-31,30.0
HELI,2023-05-31,2023-06-01,real_estate,0.6031168831168832,0.564935064935065,0.5333333333333334,0.8166666666666667,0.7272727272727274,0.13636363636363638,0.7727272727272727,True,2023-05-30,1.0
HELI,2023-06-26,2023-07-04,real_estate,0.5401785714285715,0.37142857142857144,0.5333333333333334,0.8166666666666667,0.6375000000000001,0.15000000000000005,0.8,True,2023-05-30,27.0
HELI,2023-07-31,2023-08-01,real_estate,0.5475541125541126,0.4610389610389611,0.5,0.8374999999999999,0.6295454545454546,0.10606060606060608,0.6818181818181818,True,2023-05-30,62.0
HELI,2023-08-31,2023-09-03,real_estate,0.40703571428571433,0.31428571428571433,0.35000000000000003,0.575,0.3275,0.15,0.8,True,2023-08-29,2.0
HELI,2023-09-27,2023-10-01,real_estate,0.5205513784461153,0.6240601503759399,0.35000000000000003,0.575,0.46578947368421053,0.12280701754385967,0.8947368421052632,True,2023-08-29,29.0
HELI,2023-10-31,2023-11-01,real_estate,0.5275510204081633,0.54421768707483,0.4,0.575,0.4071428571428572,0.38095238095238093,0.9047619047619048,True,2023-08-29,63.0
HELI,2023-11-30,2023-12-03,real_estate,0.536273291925466,0.6397515527950313,0.35000000000000003,0.575,0.37608695652173924,0.3478260869565218,0.8695652173913043,True,2023-11-29,1.0
HELI,2024-02-29,2024-03-03,real_estate,0.547478354978355,0.18831168831168835,0.75,0.7625,0.5363636363636364,0.5303030303030304,0.8181818181818182,True,2024-02-29,0.0
HELI,2024-09-30,2024-10-01,real_estate,0.5128835978835979,0.1904761904761905,0.6500000000000001,0.8374999999999999,0.39722222222222225,0.5740740740740741,0.6111111111111112,True,2024-08-29,32.0
HRHO,2016-04-03,2016-04-04,financials,0.3946428571428572,0.14285714285714288,0.5,0.5,0.375,0.28571428571428575,0.8571428571428571,False,,
HRHO,2016-04-28,2016-05-03,financials,0.4460374149659865,0.3673469387755103,0.5,0.5,0.4535714285714286,0.19047619047619047,0.7142857142857143,False,,
HRHO,2016-05-31,2016-06-01,financials,0.4379464285714286,0.3035714285714286,0.5,0.5,0.46875,0.12500000000000003,0.875,False,,
HRHO,2016-07-04,2016-07-10,financials,0.5533333333333332,0.625,0.5,0.5,0.5750000000000001,0.20833333333333334,0.875,False,,
