symbol,variant,base_family,score_family,bars,window_scheme,gate_on_ratio,holdout_excess_return_vs_dca,holdout_cagr,holdout_sharpe,holdout_max_drawdown,wf_excess_return_vs_dca,holdout_pass
EFID,overlay_base,dca_tactical_overlay,none,2459,primary,1.0,0.04130824029052538,-0.11990587760726845,-0.04133158687636961,0.6076114673277635,0.01107835192393554,1.0
EFID,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,2459,primary,0.6218289955266368,0.17086522499582935,-0.047539847895522014,0.15082866233329734,0.571535928723336,-0.1524485482654103,1.0
EFID,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,2459,primary,0.5636488409922732,0.06806019193254553,-0.10451095241178299,-0.012491135474140602,0.5837585626568749,-0.008515969947519339,1.0
EFID,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,2459,primary,0.6338826758845058,0.1518851330353056,-0.05781288523549688,0.13010924994123074,0.5830915299210693,-0.1358723475377063,1.0
EFID,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,2459,primary,0.5775569337128914,0.05248593843580096,-0.11344274980495628,-0.03337221047482052,0.5966174778833468,-0.002116491884499333,1.0
EFID,pullback_soft_combo,dca_pullback_only,combo,2459,primary,0.6278558357055714,0.16197094131817813,-0.05234081264508572,0.14134610637008585,0.5773720080597533,-0.14372252361673793,1.0
EFID,overlay_soft_combo,dca_tactical_overlay,combo,2459,primary,0.5706028873525824,0.055197794618188745,-0.11188140747722408,-0.031592459322183776,0.5893440878938705,-0.004683757611831374,1.0
EFIH,pullback_base,dca_pullback_only,none,1076,fallback,1.0,0.39082703382252215,0.611738296014837,1.6520757741476717,0.21934291739079115,0.049621855514981106,1.0
EFIH,overlay_base,dca_tactical_overlay,none,1076,fallback,1.0,-0.05885144499416817,0.059290887914768886,0.41052260304932087,0.4291571270546285,-0.057036102038529185,0.0
EFIH,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,1076,fallback,0.5948977695167286,0.3643150657436134,0.57824160075972,1.71386108748802,0.2179633588058303,0.013753942378078254,1.0
EFIH,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,1076,fallback,0.5325743494423791,-0.045858378830413216,0.07474150283494452,0.4332815322672837,0.4200578326670501,-0.06676113125232605,0.0
EFIH,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,1076,fallback,0.638996282527881,0.3819100862403084,0.6004602984494234,1.7284646823556744,0.2162212315288241,0.011094629942708684,1.0
EFIH,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,1076,fallback,0.5834572490706319,-0.006959673455423587,0.1211969915702138,0.5129876792813225,0.40454061770452554,-0.074615202741981,0.0
EFIH,pullback_soft_combo,dca_pullback_only,combo,1076,fallback,0.6169470260223049,0.3725676085410665,0.5886569408623197,1.720913391946727,0.2174720925352409,0.012253862300228485,1.0
EFIH,overlay_soft_combo,dca_tactical_overlay,combo,1076,fallback,0.5580157992565056,-0.02638974612910805,0.0979552205618075,0.4727245005540402,0.4123237338839736,-0.06722366429046256,0.0
EGAL,pullback_base,dca_pullback_only,none,5411,primary,1.0,-0.2803809302087501,0.7902310580861043,1.3725288902721993,0.5157359703073103,0.03383749464108309,0.0
EGAL,overlay_base,dca_tactical_overlay,none,5411,primary,1.0,-1.5767734265226636,0.7437925878541363,1.3421391633081952,0.5006798770143895,-0.01362176963157259,0.0
EGAL,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,5411,primary,0.6173576972833118,-0.2469257636496014,0.7913781276160037,1.3833764078257522,0.468430257819916,0.0037995298612220393,0.0
EGAL,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,5411,primary,0.5584896507115136,-2.3840289516429465,0.7126824558890661,1.3372913094095125,0.482947724124116,-0.017861479402921324,0.0
EGAL,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,5411,primary,0.6577559600813158,-0.30460138925522173,0.7893991054798148,1.383524846385071,0.46352765551364195,-0.06560523917797363,0.0
EGAL,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,5411,primary,0.6051030308630567,-1.6369388875405324,0.7415362446383953,1.3672299623981357,0.4851988728204093,-0.02699072964673356,0.0
EGAL,pullback_soft_combo,dca_pullback_only,combo,5411,primary,0.6375568286823138,-0.276052003976071,0.79037961919908,1.3833897849766157,0.4624631744916988,-0.02770172353997355,0.0
EGAL,overlay_soft_combo,dca_tactical_overlay,combo,5411,primary,0.5817963407872851,-1.985701291857433,0.728263533179865,1.3538592585333105,0.4838861128501165,-0.023459661041863093,0.0
EGCH,pullback_base,dca_pullback_only,none,5354,primary,1.0,-0.26806198911580426,0.3789424316802241,0.9538613352311051,0.4920227293005879,-0.061481535695314414,0.0
EGCH,overlay_base,dca_tactical_overlay,none,5354,primary,1.0,-0.5703442122366398,0.3530204967564927,0.9263671276014153,0.46716456521436445,0.0013279786077327255,0.0
EGCH,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,5354,primary,0.6078997011580126,-0.20446549372866896,0.384199640443208,0.9648320416458438,0.4907908124829823,-0.08372514151322107,0.0
EGCH,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,5354,primary,0.5475765782592454,-0.5015843350605911,0.35905886792651986,0.9556411185506261,0.44416236785701546,-0.02226319487520568,0.0
EGCH,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,5354,primary,0.6219644191258871,-0.21332185849530383,0.383471402217632,0.9638111498393659,0.4909902930607619,-0.0956263066491357,0.0
EGCH,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,5354,primary,0.5638050989914083,-0.6064897168888121,0.34981090146106597,0.9396024659783729,0.4527357107483303,-0.005876029784461717,0.0
EGCH,pullback_soft_combo,dca_pullback_only,combo,5354,primary,0.6149320601419499,-0.20931464343364192,0.3838010600831243,0.9642613400207584,0.4908901829640071,-0.08892265680246136,0.0
EGCH,overlay_soft_combo,dca_tactical_overlay,combo,5354,primary,0.5556908386253269,-0.5264619982696392,0.3568842042396978,0.9520905700014739,0.44470741965292737,-0.013117699350091681,0.0
EMFD,pullback_base,dca_pullback_only,none,2607,primary,1.0,0.06885719250549416,0.5477799547709397,1.1433946981835734,0.4606626669629085,0.02085952021240896,1.0
EMFD,overlay_base,dca_tactical_overlay,none,2607,primary,1.0,-0.17478025896265326,0.4715906811959709,1.050364924434868,0.4422860667802092,-0.014623093517239782,0.0
EMFD,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,2607,primary,0.6232393555811276,-0.5628987337208706,0.3406958019063333,0.9280928301514828,0.37405235417377125,0.02723384160831092,0.0
EMFD,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,2607,primary,0.5652761795166859,-0.24098469265397648,0.45015088451431673,1.0457950992076337,0.4290927336294479,-0.015855614915756305,0.0
EMFD,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,2607,primary,0.6536574606827772,-0.5423591819518592,0.3479622714841586,0.9430871347004103,0.3689959841177409,0.025434930243668757,0.0
EMFD,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,2607,primary,0.6003739930955121,-0.1880938814724531,0.46730592473938937,1.0664958890780096,0.4316582090465251,-0.014330317113451488,0.0
EMFD,pullback_soft_combo,dca_pullback_only,combo,2607,primary,0.6384484081319524,-0.55229424487268,0.34445266658243767,0.9358177685607546,0.371405207625512,0.026431746417627872,0.0
EMFD,overlay_soft_combo,dca_tactical_overlay,combo,2607,primary,0.5828250863060989,-0.21099710073370925,0.45990362307591237,1.0581076904938804,0.43027074403392973,-0.014872717803024817,0.0
ETEL,pullback_base,dca_pullback_only,none,4909,primary,1.0,-0.043524330762784835,0.517121808550637,1.2932016261547048,0.2998887173579078,-0.04689015363160748,0.0
ETEL,overlay_base,dca_tactical_overlay,none,4909,primary,1.0,-0.6214089962011435,0.47052138351673767,1.2098293096698,0.2985750355152217,-0.013669084473082899,0.0
ETEL,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,4909,primary,0.6386203911183541,-0.1201382025511748,0.5111789952641634,1.2871323731858566,0.2994424193917794,-0.046013780047945485,0.0
ETEL,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,4909,primary,0.5830235282134855,-0.7649457110481768,0.4582592421608489,1.216509001432519,0.29046639054285606,-0.00928812303596029,0.0
ETEL,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,4909,primary,0.6593822570788348,-0.11593430904004265,0.5115068385891857,1.2896970870286284,0.29870506384963413,-0.04564001652586729,0.0
ETEL,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,4909,primary,0.6069795273986556,-0.9577520118047058,0.4413042809269343,1.1913434523379363,0.2881313917105124,-0.012692720614892869,0.0
ETEL,pullback_soft_combo,dca_pullback_only,combo,4909,primary,0.6490013240985945,-0.11268240275406516,0.5117602997406183,1.2886134282814348,0.2987553049790751,-0.046057829969808804,0.0
ETEL,overlay_soft_combo,dca_tactical_overlay,combo,4909,primary,0.5950015278060705,-0.8461645609025972,0.45118671261657184,1.2067943673337747,0.2898421743852503,-0.010195701214623728,0.0
FWRY,pullback_base,dca_pullback_only,none,1610,primary,1.0,-0.09617020606989479,0.8419329741641186,2.0695432466019006,0.18659497661935776,-0.09003837293176893,0.0
FWRY,overlay_base,dca_tactical_overlay,none,1610,primary,1.0,-0.09130235405892284,0.8451651434529945,1.9788442872351246,0.18852297149284736,-0.10525473462551904,0.0
FWRY,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,1610,primary,0.6797639751552794,-0.1390392550388997,0.8134010986992302,2.0516784677432938,0.1864285420191515,-0.11251566846772103,0.0
FWRY,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,1610,primary,0.630496894409938,-0.16827209415444022,0.7938743108820712,1.949763506549262,0.17807056555672163,-0.11354542357493418,0.0
FWRY,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,1610,primary,0.6712655279503104,-0.16140321377641786,0.798467757415058,2.0400012493253965,0.18523337075444646,-0.12513599525617525,0.0
FWRY,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,1610,primary,0.6206909937888199,-0.2050544287431042,0.7692215967725524,1.9317429626850806,0.1771161990157677,-0.0984618750860271,0.0
FWRY,pullback_soft_combo,dca_pullback_only,combo,1610,primary,0.675514751552795,-0.147603484381714,0.8076864009289506,2.047046528962603,0.18610917799562643,-0.1170937778275875,0.0
FWRY,overlay_soft_combo,dca_tactical_overlay,combo,1610,primary,0.6255939440993789,-0.19009913248685129,0.7792563975290845,1.937565183721464,0.17908244311848054,-0.10444976026460728,0.0
GBCO,pullback_base,dca_pullback_only,none,4398,primary,1.0,-0.5504490535860036,0.784502854924469,1.4510086490297915,0.3006606434964718,0.0023482784981745885,0.0
GBCO,overlay_base,dca_tactical_overlay,none,4398,primary,1.0,-1.5552653206890144,0.7125494532145158,1.3738849130059816,0.3010163418192081,0.010886556321345924,0.0
GBCO,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,4398,primary,0.6432759208731241,-0.5695521852809673,0.7832008776215391,1.4516175666743367,0.2982289346435629,-0.0031705466896092827,0.0
GBCO,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,4398,primary,0.5883952933151433,-1.992530181102527,0.6787488575635816,1.3621085424151143,0.2948386510028079,0.007477254195492755,0.0
