date,momentum_pyramid_equity,annual_top10_dca_equity,etf_dca_equity
2022-09-11,354557.83657278033,467330.7620283101,440160.30287664
2022-09-12,352875.1465727804,471963.9920283101,443725.92287664
2022-09-13,350405.46657278034,470077.46202831005,447291.54287664
2022-09-14,341970.2965727804,459165.6420283101,445310.64287664
2022-09-15,341550.7665727804,454381.9920283101,436990.86287664
2022-09-18,329252.3165727803,438875.9620283101,431840.52287664
2022-09-19,333362.58657278033,443556.17202831013,418370.40287664003
2022-09-20,336337.99657278036,450530.95202831004,422332.20287664
2022-09-21,333804.48657278036,448662.2320283101,428671.08287664
2022-09-22,334247.2565727804,446325.4020283101,426690.18287664
2022-09-25,335424.9320209604,442749.2720283101,425501.64287664
2022-09-26,337389.66202096036,442932.3720283101,423916.92287664
2022-09-27,339674.26202096033,444379.82202831015,421143.66287664004
2022-09-28,335486.1920209604,440761.2220283102,420747.48287664
2022-09-29,339385.1920209604,441464.1220283101,415993.32287664
2022-10-02,344716.3230516202,444534.7636129101,430502.7269062401
2022-10-03,345825.4703813903,444311.47361291014,424428.0269062401
2022-10-04,351690.1580555403,451662.7036129101,424428.0269062401
2022-10-05,354798.7280555403,453839.98361291015,434552.5269062401
2022-10-09,357897.6780555403,450459.4536129101,438197.34690624004
2022-10-10,356444.7380555403,448989.2336129101,435362.48690624005
2022-10-11,354154.2080555403,442536.87361291016,435362.48690624005
2022-10-12,350144.3680555403,438460.3936129102,432122.64690624
2022-10-13,351360.93805554026,440703.5336129101,428882.80690624006
2022-10-16,355321.9780555403,448398.7736129101,431312.68690624007
2022-10-17,357776.55805554026,461668.80361291015,439817.26690624
2022-10-18,344095.1680555403,474641.85361291014,444272.04690624005
2022-10-19,344825.7680555404,477642.98361291015,448726.8269062401
2022-10-20,345450.7680555402,479304.8436129101,448321.84690624004
2022-10-23,343828.2480555403,476544.9436129101,453181.60690624005
2022-10-24,340109.1280555403,472611.1436129102,452371.64690624
2022-10-25,341536.2480555403,480761.2236129101,455611.48690624005
2022-10-26,343447.3580555403,483286.75361291016,462091.16690624005
2022-10-27,358895.4880555403,503197.78361291013,465735.98690624005
2022-10-30,354314.8780555403,503167.9436129101,492059.68690624007
2022-10-31,360569.3480555403,516434.7136129101,489629.80690624006
2022-11-01,370695.47420353035,523282.6785858601,511414.15868094005
2022-11-02,371912.27942236036,518853.8449344002,514305.78868094005
2022-11-03,373896.64942236035,520774.14493440016,505630.89868094004
2022-11-06,371750.89942236035,524922.7849344001,506870.16868094006
2022-11-07,377611.4094223603,534373.8849344002,502739.26868094003
2022-11-08,371113.58942236035,526261.6849344003,514718.87868094
2022-11-09,379497.6794223603,535366.2749344001,506870.16868094006
2022-11-10,388430.14942236035,543464.0449344001,529590.11868094
2022-11-13,391378.7394223604,552374.1649344001,528350.84868094
2022-11-14,394800.8094223603,552704.2249344002,538678.09868094
2022-11-15,394747.1894223604,550732.1649344002,545287.5386809399
2022-11-16,404073.4994223604,562721.5049344002,545287.5386809399
2022-11-17,411019.7394223604,565757.4549344002,576269.2886809399
2022-11-20,412982.0394223603,562570.0749344002,562224.22868094
2022-11-21,410536.58942236035,563002.7949344002,562637.31868094
2022-11-22,409189.90942236036,557660.3949344001,563050.40868094
2022-11-23,413581.43942236033,559529.0549344003,570486.02868094
2022-11-24,420296.69942236034,567636.5749344003,576682.37868094
2022-11-27,435292.1594223603,582325.9849344002,578334.73868094
