date,symbol,holding_name,shares,close,value,weight,rank,score
2020-02-05,ADIB,Abu Dhabi Islamic Bank- Egypt,338.0,8.72,2947.36,0.01734538473370556,7.0,0.6346153846153847
2020-02-05,CCAP,QALA For Financial Investments,3732.0,2.36,8807.52,0.05183276659444601,3.0,0.7223589743589744
2020-02-05,COMI,Commercial International Bank-Egypt (CIB),878.0,43.08,37824.24,0.22259784860350113,5.0,0.7151282051282051
2020-02-05,EAST,Eastern Company,647.0,11.31,7317.570000000001,0.043064324332901915,8.0,0.5908717948717949
2020-02-05,JUFO,Juhayna Food Industries,946.0,9.04,8551.839999999998,0.050328074948799095,4.0,0.7156410256410256
2020-02-05,ORHD,Orascom Development Egypt,7398.0,5.69,42094.62,0.24772928285622953,2.0,0.8111282051282052
2020-02-05,VLMR,Egyptian Kuwaiti Holding,22047.0,1.93,42550.71,0.2504133989883599,1.0,0.8578974358974358
2020-03-03,ADIB,Abu Dhabi Islamic Bank- Egypt,338.0,8.57,2896.6600000000003,0.018814362730163972,6.0,0.5935555555555556
2020-03-03,CCAP,QALA For Financial Investments,4912.0,1.77,8694.24,0.056470757708222845,5.0,0.7069002849002849
2020-03-03,COMI,Commercial International Bank-Egypt (CIB),966.0,39.07,37741.62,0.2451390666160375,2.0,0.7638062678062677
2020-03-03,EAST,Eastern Company,1535.0,10.04,15411.399999999998,0.10010000130483003,4.0,0.7206552706552708
2020-03-03,ORHD,Orascom Development Egypt,9938.0,3.98,39553.24,0.2569058862666764,3.0,0.7227293447293448
2020-03-03,VLMR,Egyptian Kuwaiti Holding,22047.0,1.83,40346.01,0.26205507959333263,1.0,0.880974358974359
2020-04-02,ABUK,Abou Kir Fertilizers,450.0,15.61,7024.5,0.05822820852890081,6.0,0.6089287749287751
2020-04-02,ADIB,Abu Dhabi Islamic Bank- Egypt,1485.0,6.68,9919.8,0.08222822734215819,5.0,0.6676182336182337
2020-04-02,COMI,Commercial International Bank-Egypt (CIB),1046.0,28.56,29873.76,0.24763264671113044,2.0,0.7989344729344728
2020-04-02,EAST,Eastern Company,2815.0,9.11,25644.649999999998,0.21257627273836943,3.0,0.7402735042735044
2020-04-02,JUFO,Juhayna Food Industries,1536.0,5.55,8524.8,0.0706646497355219,4.0,0.7303931623931624
2020-04-02,VLMR,Egyptian Kuwaiti Holding,22047.0,1.43,31527.21,0.2613385946635984,1.0,0.8376467236467238
2020-05-07,ABUK,Abou Kir Fertilizers,167.0,13.72,2291.2400000000002,0.01667102774917123,5.0,0.6406096866096866
2020-05-07,ADIB,Abu Dhabi Islamic Bank- Egypt,2212.0,6.32,13979.84,0.10171710539662973,4.0,0.6815270655270655
2020-05-07,COMI,Commercial International Bank-Egypt (CIB),1126.0,31.5,35469.0,0.25807191007286634,1.0,0.8544957264957265
2020-05-07,EAST,Eastern Company,3402.0,8.91,30311.82,0.2205483460256819,3.0,0.7536581196581197
2020-05-07,JUFO,Juhayna Food Industries,1994.0,7.12,14197.28,0.10329919556343016,,
2020-05-07,ORHD,Orascom Development Egypt,670.0,3.42,2291.4,0.016672191906762696,6.0,0.6033561253561254
2020-05-07,VLMR,Egyptian Kuwaiti Holding,22088.0,1.56,34457.28,0.2507106505826377,2.0,0.8225527065527065
2020-06-04,COMI,Commercial International Bank-Egypt (CIB),1191.0,32.89,39171.99,0.2544489018101796,1.0,0.871122507122507
2020-06-04,EAST,Eastern Company,4111.0,9.28,38150.079999999994,0.2478108965097381,3.0,0.7616353276353276
