entry_date,exit_date,exit_year,symbol,shares,entry_price,exit_price,entry_value,exit_value,total_fees,pnl_egp,return_pct,hold_days,exit_reason
2021-10-17,2021-10-28,2021,COMI,24162.0,30.58,33.24,738873.96,803144.88,10.0,64260.92000000004,0.08697083484418076,11,target
2021-11-03,2021-11-07,2021,PHDC,387259.0,1.97,1.91,762900.23,739664.69,10.0,-23245.540000000037,-0.030469760968869015,4,stop
2021-10-12,2021-11-08,2021,EGAL,28986.0,25.49,24.1,738853.1399999999,698562.6000000001,10.0,-40300.539999999804,-0.054544354075871465,27,stop
2021-11-07,2021-11-08,2021,GBCO,168486.0,4.39,4.19,739653.5399999999,705956.3400000001,10.0,-33707.19999999984,-0.045571298345314634,1,stop
2021-11-01,2021-11-09,2021,AMOC,183830.0,4.15,4.07,762894.5000000001,748188.1000000001,10.0,-14716.400000000023,-0.019290089979086395,8,stop
2021-11-15,2021-11-18,2021,ABUK,35020.0,20.49,20.0,717559.7999999999,700400.0,10.0,-17169.79999999993,-0.023927873831046245,3,stop
2021-12-01,2021-12-12,2021,ORHD,123946.0,5.77,5.8,715168.4199999999,718886.7999999999,10.0,3708.3800000000047,0.005185287786562321,11,stop
2021-12-13,2021-12-15,2021,ABUK,34376.0,20.84,19.97,716395.84,686488.72,10.0,-29917.119999999995,-0.04176030837708118,2,stop
2021-12-13,2021-12-23,2021,ORHD,123096.0,5.82,5.75,716418.7200000001,707802.0,10.0,-8626.720000000088,-0.012041365687892198,10,stop
2021-12-26,2022-01-19,2022,ORHD,120196.0,5.8,5.53,697136.7999999999,664683.88,10.0,-32462.919999999925,-0.046565734546400644,24,stop
2022-01-04,2022-01-19,2022,HRHO,71140.0,9.94,9.71,707131.6,690769.4,10.0,-16372.199999999953,-0.02315281092790269,15,stop
2022-01-19,2022-02-01,2022,GBCO,140024.0,4.84,4.81,677716.16,673515.44,10.0,-4210.7200000000885,-0.0062130567090454844,13,stop
2021-12-12,2022-02-13,2022,COMI,20929.0,34.23,33.88,716399.6699999999,709074.52,10.0,-7335.149999999907,-0.010238836103622702,63,max_hold
2022-02-03,2022-02-13,2022,HELI,103752.0,6.56,6.28,680613.12,651562.56,10.0,-29060.55999999994,-0.04269730579609009,10,stop
2022-02-17,2022-02-21,2022,ABUK,32074.0,21.21,20.71,680289.54,664252.54,10.0,-16047.0,-0.023588312203711055,4,stop
2022-02-03,2022-02-27,2022,ARCC,157550.0,4.32,4.3,680616.0,677465.0,10.0,-3161.0,-0.004644288083970374,24,stop
2022-03-06,2022-03-09,2022,CCAP,454591.0,1.49,1.42,677340.59,645519.22,10.0,-31831.369999999995,-0.04699428249027206,3,stop
2022-03-01,2022-03-09,2022,GBCO,117594.0,5.76,5.4,677341.44,635007.6000000001,10.0,-42343.83999999985,-0.06251430213466518,8,stop
2022-03-13,2022-03-15,2022,HRHO,55400.0,11.78,11.45,652612.0,634330.0,10.0,-18292.0,-0.0280286906409119,2,stop
2022-03-22,2022-03-24,2022,GBCO,118846.0,5.44,5.37,646522.24,638203.02,10.0,-8329.219999999972,-0.01288301479764406,2,stop
2022-03-24,2022-03-27,2022,ORAS,8627.0,73.97,71.8,638139.19,619418.6,10.0,-18730.589999999967,-0.029351657969337572,3,signal_fail
2022-03-22,2022-03-28,2022,CCAP,468496.0,1.38,1.31,646524.48,613729.76,10.0,-32804.71999999997,-0.05073971259593603,6,stop
2022-04-04,2022-04-06,2022,VLMRA,20044.0,31.01,29.46,621564.4400000001,590496.24,10.0,-31078.20000000007,-0.04999956239804851,2,stop
2022-03-21,2022-04-07,2022,HRHO,54882.0,11.78,13.13,646509.96,720600.66,10.0,74080.70000000007,0.11458466483126713,17,target
2022-04-04,2022-04-10,2022,ABUK,24472.0,25.4,24.41,621588.7999999999,597361.52,10.0,-24237.27999999991,-0.03899215210962515,6,stop
2022-04-07,2022-04-10,2022,HRHO,49927.0,13.13,12.66,655541.51,632075.8200000001,10.0,-23475.689999999944,-0.03581086870556285,3,stop
2022-04-11,2022-04-12,2022,EGCH,200104.0,3.14,2.95,628326.56,590306.8,10.0,-38029.76000000001,-0.06052498779466052,1,stop
2022-04-14,2022-04-18,2022,ABUK,24635.0,24.99,24.21,615628.6499999999,596413.35,10.0,-19225.29999999993,-0.03122847492173297,4,stop
2022-04-18,2022-04-20,2022,VLMRA,20027.0,30.42,28.89,609221.3400000001,578580.03,10.0,-30651.310000000056,-0.05031185946425109,2,stop
2022-04-28,2022-05-29,2022,ABUK,22776.0,26.3,25.25,599008.8,575094.0,10.0,-23924.800000000047,-0.03994031523146887,31,stop
2022-06-09,2022-06-13,2022,EGCH,199024.0,3.0,2.93,597072.0,583140.3200000001,10.0,-13941.679999999935,-0.023349886195582707,4,signal_fail
2022-06-12,2022-06-13,2022,EAST,69997.0,8.53,8.18,597074.4099999999,572575.46,10.0,-24508.949999999953,-0.041048057577466886,1,stop
2022-04-28,2022-06-14,2022,VLMRA,19205.0,31.19,29.83,599003.9500000001,572885.15,10.0,-26128.800000000047,-0.04362004941662398,47,stop
2022-07-04,2022-07-05,2022,RMDA,396934.0,1.46,1.39,579523.64,551738.26,10.0,-27795.380000000005,-0.047962047225138006,1,stop
2022-07-07,2022-07-21,2022,RMDA,390588.0,1.46,1.49,570258.48,581976.12,10.0,11707.640000000014,0.020530229289801295,14,stop
2022-08-31,2022-09-05,2022,AMOC,140852.0,4.1,4.04,577493.2,569042.08,10.0,-8461.119999999995,-0.01465133570979095,5,stop
2022-09-12,2022-09-13,2022,RMDA,310898.0,1.86,1.77,578270.28,550289.46,10.0,-27990.820000000065,-0.04840397120208919,1,stop
2022-08-18,2022-09-19,2022,HELI,98380.0,5.87,5.64,577490.6,554863.2,10.0,-22637.400000000023,-0.03919925969998737,32,stop
2022-09-11,2022-09-20,2022,MCQE,53892.0,10.73,10.62,578261.16,572333.0399999999,10.0,-5938.120000000112,-0.010268835375046175,9,stop
2022-09-18,2022-10-03,2022,RMDA,300699.0,1.83,1.73,550279.17,520209.27,10.0,-30079.900000000023,-0.05466248465769971,15,stop
2022-10-18,2022-10-20,2022,EGAL,27222.0,20.09,25.5,546889.98,694161.0,10.0,147261.02000000002,0.26926745606624514,2,target
2022-10-20,2022-10-23,2022,EGAL,27222.0,25.5,25.0,694161.0,680550.0,10.0,-13621.0,-0.01962210768029549,3,stop
2022-10-23,2022-10-25,2022,EGAL,27221.0,25.0,23.5,680525.0,639693.5,10.0,-40841.5,-0.06001425359646158,2,stop
2022-10-30,2022-11-10,2022,RMDA,355390.0,1.8,1.74,639702.0,618378.6,10.0,-21333.400000000023,-0.033348704953986785,11,stop
2022-09-22,2022-11-16,2022,MCQE,51800.0,10.88,11.76,563584.0,609168.0,10.0,45574.0,0.08086389194962997,55,max_hold
2022-11-13,2022-11-27,2022,EGCH,177005.0,3.55,4.38,628367.75,775281.9,10.0,146904.15000000002,0.23378504239720774,14,target
2022-10-18,2022-11-28,2022,HRHO,55130.0,9.92,11.42,546889.6,629584.6,10.0,82685.0,0.151190009921473,41,target
2022-11-27,2022-11-30,2022,GBCO,161852.0,4.79,4.72,775271.08,763941.44,10.0,-11339.640000000014,-0.014626583087666028,3,stop
2022-11-28,2022-12-01,2022,EGCH,129276.0,4.87,4.49,629574.12,580449.24,10.0,-49134.880000000005,-0.07804401137064394,3,stop
2022-11-16,2022-12-04,2022,CCAP,465006.0,1.31,1.5,609157.86,697509.0,10.0,88341.14000000001,0.14502056149647735,18,target
