date,symbol,stock_close,benchmark_close,ratio,rel_mom_21,rel_mom_63,rel_mom_126,rel_mom_252,ratio_vs_sma50,ratio_vs_sma200,sma50_vs_sma200,ratio_breakout_20,ratio_breakout_63,ratio_breakout_126,vol_adj_rel_mom_63,volume_ratio_20_63,mom63_volume_score,down_day_excess_63,down_day_excess_126,beta_252,corr_252,residual_strength_21_126b,residual_strength_63_126b,residual_strength_126_126b,excess_fwd_21,excess_fwd_63,excess_fwd_126
2025-12-23,AMOC,6.94,46.95,0.1478168264110756,0.006017583545159688,-0.20390937873331405,-0.2667971740352483,-0.35124837297361267,-0.045355866582616255,-0.22992352325739163,-0.1933366059811943,-0.009371671991480368,-0.2154184845465893,-0.31549737677709533,-13.031360758027938,0.9772838535364687,-0.19927734342072043,0.0034781669272659597,0.004170362037086128,0.24204864839860907,0.17292571471093,0.012714862760241046,-0.10134498744764028,-0.13758893393030056,-0.11744451912482767,0.09297707721440118,
2025-12-24,AMOC,6.9,47.13,0.1464035646085296,-0.016791221353504637,-0.2060345462182327,-0.26345626030950775,-0.34876317394318557,-0.04974162683731298,-0.2356620578676979,-0.19565250491989583,-0.018842969748888883,-0.22291978946359758,-0.3220418374764017,-13.156545686413123,1.0574154176380355,-0.21786410573721565,0.0034781669272659597,0.004170362037086128,0.24043786051992708,0.17203749041368863,0.001937178739414981,-0.1021531664349781,-0.13078759846349766,-0.15313609904150405,0.10118912536093516,
2025-12-25,AMOC,6.95,47.16,0.14737065309584396,-0.01057279768206365,-0.21778668135015078,-0.27498537424316094,-0.35199404831381853,-0.03903266892280011,-0.22885463925791638,-0.1975321784584858,-0.012361804684769107,-0.21778668135015078,-0.3175634934168803,-14.152489701742152,1.1022506101838914,-0.24005550240812842,0.002726116104665772,0.003844167090200096,0.24179205017271083,0.17240503253916659,0.010109771714409854,-0.10999194183904956,-0.10708593254715214,-0.1305285542558321,0.10305007902075292,
2025-12-28,AMOC,6.95,47.15,0.1474019088016967,0.0022898798782038376,-0.21359196973092087,-0.27631608057025137,-0.34475245227995754,-0.03445164821381774,-0.2269447722388509,-0.19936145473081412,-0.01215233741110755,-0.21379166585058074,-0.31741875608780656,-13.873171076951605,1.1281726676346178,-0.24096862227666552,0.0026255532246860945,0.0038097043555815973,0.24002629052228341,0.17041603857668816,0.014083143245975656,-0.10755003441954837,-0.10483613256454151,-0.13808677342325515,0.11945497684567052,
2025-12-29,AMOC,6.96,47.36,0.14695945945945946,-0.006459102274080086,-0.20538901435127854,-0.2741156177333892,-0.34847339253872245,-0.033032439357774335,-0.22765733840824676,-0.20127345215304782,-0.01511751304618747,-0.21615159024459818,-0.31946762794331784,-13.382942841807772,1.1429569114115081,-0.23475079348079125,0.0026255532246860945,0.003997894718381279,0.2395793359624297,0.17017788559947306,0.01701773800252979,-0.10207316755789148,-0.09267114254916016,-0.12152939577508537,,
2025-12-30,AMOC,6.92,47.4,0.1459915611814346,-0.010190153880672237,-0.21077633705029586,-0.27707294916388747,-0.3460874067708849,-0.03518604163546524,-0.2311139654670289,-0.20307326830520045,-0.021604105108281924,-0.22131414003094974,-0.32394972194037375,-13.73689412969585,1.1580155430657952,-0.24408227441471747,0.0027268612152581417,0.004125657458442341,0.23962080473364383,0.1702818428663842,0.01635091083407186,-0.10508536185509373,-0.09485507022888671,-0.16029609033926007,,
2025-12-31,AMOC,6.93,47.67,0.14537444933920704,-0.02188978324950064,-0.2138354643458329,-0.28245992194913494,-0.347805110591641,-0.036856896988373244,-0.2325727002735103,-0.2032053208636997,-0.025739821503383387,-0.22460567456673608,-0.3268074119955774,-13.941569103063815,1.153068271070664,-0.24656688916684213,0.002860721633681567,0.0041438640103507,0.23966189912356226,0.17036122925702515,0.015212304376529167,-0.1034126745238549,-0.09044265648078974,-0.15671504217759713,,
2026-01-04,AMOC,6.95,47.14,0.1474331777683496,0.006951156444482409,-0.1987755780369771,-0.27119911415220077,-0.34421571121010097,-0.021288984157106117,-0.21995444410639398,-0.20298684364780706,-0.011942781267155644,-0.21362488427778703,-0.3172739573512957,-12.826660240246175,1.1657659977572945,-0.23172581006005957,0.0033250293370748287,0.0043372020986795065,0.23387946741180404,0.16699752042014157,0.024250219093538188,-0.10741303439681263,-0.08936367224069726,-0.18360646230576005,,
2026-01-06,AMOC,7.15,46.98,0.15219242230736485,0.04148246389625698,-0.1754894568082388,-0.295235090392702,-0.31756995784841,0.01155796352026961,-0.19302789484763205,-0.20224828012418905,0.019952386385524434,-0.18824015384079673,-0.295235090392702,-10.895455121614372,1.2019445596573295,-0.2109285978878825,0.0044788731042706064,0.004872469818262002,0.22856308847197723,0.16175158935210426,0.053925611865909176,-0.0828973606465939,-0.13603210231197443,-0.21133647110658615,,
2026-01-08,AMOC,7.11,47.31,0.15028535193405199,0.051547507394849035,-0.19841203447312383,-0.28758771579871245,-0.31679616273819433,0.0002509285976994846,-0.2014015760686979,-0.2016019169800759,-0.012530652606746573,-0.19841203447312383,-0.28758771579871245,-12.42033075049957,1.2428959275454083,-0.24660550962264477,0.004015994789324827,0.004872469818262002,0.2269869785531654,0.16092357047049885,0.062012240325935934,-0.09907988546535323,-0.12838879370921427,-0.20026631063449907,,
2026-01-11,AMOC,7.09,47.9,0.14801670146137788,0.03177624449763994,-0.20678731905598013,-0.2722839359186634,-0.32608866511113843,-0.013294075760690416,-0.21176780488254843,-0.20114780325745918,-0.027437114034191246,-0.20678731905598013,-0.28700451648996406,-12.890049529397741,1.3009232878673902,-0.2690144389955887,0.004015994789324827,0.004872469818262002,0.22329836838543163,0.15857659419743894,0.04103816707293102,-0.09862993691263867,-0.11793532555410204,-0.18944468818736726,,
2026-01-12,AMOC,7.07,48.59,0.14550318995678121,0.0005980236882998646,-0.20751697200553643,-0.29911208497942643,-0.3415980654455649,-0.028131171967384017,-0.223395795571818,-0.20091664427566236,-0.04395246654970897,-0.21363945713864396,-0.29911208497942643,-12.926679295237669,1.2551446482381232,-0.26046381683132946,0.004015994789324827,0.004565585353574281,0.2190430470305505,0.1555282360783326,0.024905650130300855,-0.1000097225348036,-0.138423596874654,-0.16474772458870546,,
2026-01-13,AMOC,6.91,49.65,0.13917421953675732,-0.06249876797154541,-0.23463396090514377,-0.2932646967534517,-0.36933257209918235,-0.06756313003557401,-0.25537792275003535,-0.20142360170895723,-0.08553778547736246,-0.24784387985076273,-0.32346869645963294,-13.94132009905249,1.2794802436146895,-0.3002095174591929,0.004015994789324827,0.004565585353574281,0.199315746427406,0.14191693938321337,-0.021155731478921788,-0.12000146101308191,-0.12659741261212565,-0.12469486113357897,,
2026-01-14,AMOC,6.84,48.73,0.140365278062795,-0.040536053527847726,-0.22687696051127193,-0.2874936428768994,-0.3649528966280886,-0.05707214614616185,-0.24720465583959517,-0.20164056975975753,-0.07771178134404078,-0.24140689775165658,-0.3176789145596861,-13.424049328895181,1.2867360453111893,-0.2919307629404969,0.004191333475169006,0.004722726668596764,0.203562854928188,0.1458353860588961,-0.019447642137980285,-0.12875963332491008,-0.12800831789323971,-0.15629894045600357,,
2026-01-15,AMOC,6.8,49.38,0.1377075739165654,-0.056251940010546786,-0.255770250718796,-0.30661720900738854,-0.37379292703203937,-0.07190440501391149,-0.2595972173811706,-0.20223435320805772,-0.09517457026570042,-0.255770250718796,-0.330598117961423,-15.274364637722396,1.302852412713942,-0.33323088824943325,0.0035694308373550956,0.004655359676971027,0.20022219228220298,0.1437742888981491,-0.029473407161139942,-0.15377968087806332,-0.14048216768651606,-0.13436256641174094,,
2026-01-18,AMOC,6.84,50.14,0.1364180295173514,-0.05949512792751732,-0.2541299944570786,-0.312755055076555,-0.39566287565548175,-0.07714342971199306,-0.26469234458203983,-0.20322650443016954,-0.10364768856990647,-0.2541299944570786,-0.3368666435279918,-15.187627015067633,1.3138794196948762,-0.33389616964432856,0.0035694308373550956,0.004655359676971027,0.2045771286877751,0.14818755034944775,-0.021656414381890338,-0.14737272540952223,-0.13806381918623134,-0.0744249434915567,,
2026-01-19,AMOC,6.91,50.78,0.13607719574635682,-0.05745953897300127,-0.252992894184062,-0.3385234497680344,-0.3864025661620971,-0.07631674730934224,-0.2647337624788534,-0.20398444447342623,-0.10588718095610594,-0.252992894184062,-0.3385234497680344,-15.117976307319802,1.273344443258,-0.32214709599303454,0.0035694308373550956,0.004655359676971027,0.20363347287026057,0.14821024265734073,-0.005195226533404091,-0.13557615459924047,-0.16765389338501646,-0.08963497941518961,,
2026-01-20,AMOC,6.95,52.37,0.1327095665457323,-0.08109265146905487,-0.2669625123477858,-0.3523083752222572,-0.4064452023685655,-0.09584990743973199,-0.28115165793014385,-0.2049457850141847,-0.12801462429111854,-0.2669625123477858,-0.3523083752222572,-15.761909932470566,1.189832008252892,-0.31764054219500343,0.003992108632197619,0.004655359676971027,0.20469010282816688,0.15116237156209497,0.005532283186622036,-0.12615954414456299,-0.1645052977018473,-0.061208363841674496,,
2026-01-21,AMOC,6.95,51.7,0.1344294003868472,-0.08259187620889752,-0.24979148117445982,-0.33298254097526203,-0.40361268635717196,-0.08088627670523485,-0.27006472275017646,-0.2058270279838602,-0.11671423354208665,-0.24979148117445982,-0.34152085215914996,-14.63682047889218,1.222270961217009,-0.3053128737989274,0.0043588367772327925,0.004814932705129277,0.20271321693104097,0.1497793867357618,-0.006338551410629204,-0.11602096010672652,-0.14895575816369452,-0.06522689005468729,,
2026-01-22,AMOC,7.08,53.1,0.13333333333333333,-0.1064361191162344,-0.18840579710144933,-0.3315673289183222,-0.4095238095238095,-0.0853081663574301,-0.27423827622971697,-0.20655055935058697,-0.123916083916084,-0.18840579710144933,-0.34688974688974683,-13.56696040679057,1.2692416798484114,-0.2391324904062225,0.008148271005295717,0.004814932705129277,0.212740932246936,0.15839076998572962,0.005612765794838661,-0.01459183798287715,-0.12602412988452893,-0.049435028248587365,,
2026-01-25,AMOC,7.2,53.66,0.1341781587774879,-0.08669787164010045,-0.1732831176485884,-0.3352966047386633,-0.4029071934401788,-0.07708939460392938,-0.2678372029022765,-0.20668069819881096,-0.11836504903966705,-0.18268083027122195,-0.3427515156922535,-12.472047857992766,1.32361154048168,-0.22935953429031627,0.008148271005295717,0.004673170698030011,0.21357104574594896,0.15875384209149102,0.02582723240557798,0.0064575523981586554,-0.11776180049948941,-0.05108346792562224,,
2026-01-26,AMOC,7.17,54.02,0.1327286190299889,-0.10207367961700597,-0.17828215011608928,-0.33997208124386846,-0.4251842946770751,-0.0843868313102184,-0.27388804908531095,-0.2069664616622584,-0.1278894374784787,-0.19151040904700045,-0.34985183522762187,-12.80159560275735,1.2145236604586196,-0.21652788955342586,0.008148271005295717,0.004673170698030011,0.21828684868433762,0.162927324744156,0.017984376886072146,0.004636671367233219,-0.1338004413416982,-0.019277430694866204,,
2026-01-27,AMOC,7.12,55.85,0.12748433303491494,-0.12922657740064625,-0.2060866970274936,-0.37521337672723387,-0.44132353403424784,-0.11794381639745566,-0.30070982205582075,-0.20720449451632628,-0.16234769706569185,-0.2234549186032998,-0.37554006237981175,-14.019922366471834,1.1754658396059123,-0.24224787235303205,0.008148271005295717,0.004673170698030011,0.20415007963866558,0.15498381566783728,0.012593682823801966,-0.009642603737898554,-0.16494117041699005,0.0032508323861064614,,
2026-01-28,AMOC,7.07,54.13,0.13061149085534823,-0.11372116421032785,-0.1829188130211935,-0.36022222111267,-0.4236207956317416,-0.09386925814887104,-0.28170513378529083,-0.20729445207067032,-0.1418003020441595,-0.2044064679709885,-0.36022222111267,-12.118067278732065,1.1556478843423312,-0.21138973927435276,0.008799355762214892,0.005138332168510351,0.20074445153996595,0.15499855474020013,0.002201615321337691,-0.009527604444136103,-0.15928366036519462,-0.010645700499426258,,
2026-02-01,AMOC,7.0,54.0,0.12962962962962962,-0.1205702104982681,-0.19137604758042714,-0.3568697729988053,-0.4058492975734356,-0.09827583019901776,-0.2851694169918162,-0.2072624789840638,-0.14825174825174836,-0.21038727743435293,-0.3568697729988053,-12.68757414406223,1.1521958053586498,-0.22050267926828554,0.008368459866492187,0.00489053419690935,0.1908602884266296,0.1497541328478059,-0.007456637644222552,-0.017080997397910025,-0.16340958152263405,0.003306878306878369,,
