family,number,value,param_stoch_len,param_kd_smooth,param_j_smooth,param_trigger_len,param_trend_ma,param_oversold,param_atr_stop,param_atr_trail
blackcat_superj,28,0.944163166660108,24,3,10,3,185,17.0,3.9000000000000004,2.1
blackcat_superj,29,1.4636805978405962,32,3,10,4,163,16.0,4.6,1.9000000000000001
blackcat_superj,30,1.5435206682946412,30,2,10,4,162,16.0,4.5,1.8
blackcat_superj,31,1.4636805978405962,29,2,10,4,162,16.0,4.6,1.9000000000000001
blackcat_superj,32,1.5435206682946412,31,2,10,4,162,10.0,5.0,2.1
blackcat_superj,33,1.0860673721382235,30,2,9,3,123,11.0,4.9,2.2
blackcat_superj,34,1.1368388295685785,34,2,10,5,188,11.0,5.0,2.4000000000000004
blackcat_superj,35,1.0977016677630813,24,2,9,4,146,8.0,4.4,1.4
blackcat_superj,36,1.5435206682946412,28,2,10,4,160,8.0,4.0,2.0
blackcat_superj,37,0.2973008198824052,14,5,10,3,130,12.0,4.4,2.8000000000000003
blackcat_superj,38,0.696084159080131,21,3,4,5,179,6.0,4.7,2.4000000000000004
blackcat_superj,39,1.4889182557521727,31,2,9,3,109,16.0,2.8,1.6
blackcat_superj,40,1.05501628374788,33,2,10,5,166,19.0,4.800000000000001,1.8
blackcat_superj,41,1.5435206682946412,28,2,10,4,157,8.0,4.0,2.0
blackcat_superj,42,1.5346726063984721,30,2,10,4,193,6.0,3.8000000000000003,2.2
blackcat_superj,43,1.0977016677630813,28,2,9,4,158,10.0,4.2,1.4
blackcat_superj,44,0.9789397150646729,32,2,10,3,97,15.0,3.6,2.7
blackcat_superj,45,0.9965556700461321,24,3,9,5,148,5.0,4.4,2.3
blackcat_superj,46,1.8812479312074841,33,2,10,4,191,14.0,5.0,2.0
blackcat_superj,47,1.1190115033776755,33,4,9,5,194,14.0,5.0,3.0
blackcat_superj,48,0.45481944858425527,34,3,3,3,190,13.0,4.800000000000001,1.2000000000000002
blackcat_superj,49,0.8329949258619618,31,5,10,6,180,17.0,4.6,1.7000000000000002
blackcat_superj,50,1.9481104216785898,33,2,9,3,177,15.0,5.0,2.5
blackcat_superj,51,1.5058933886046937,33,2,10,3,177,19.0,5.0,2.5
blackcat_superj,52,1.5227197846805605,32,2,9,4,168,15.0,4.5,2.1
