rebalance_date,selection_date,horizon,factor,ic,observations
2022-12-01,2022-11-30,1m,score_value,-0.09290125605324569,20
2022-12-01,2022-11-30,1m,score_quality,-0.21895243512041754,20
2022-12-01,2022-11-30,1m,score_growth,-0.07368421052631578,20
2022-12-01,2022-11-30,1m,score_low_risk,0.23192797386243624,20
2022-12-01,2022-11-30,1m,score_liquidity,0.048120300751879695,20
2022-12-01,2022-11-30,3m,score_momentum,0.39037234802777715,20
2022-12-01,2022-11-30,3m,score_value,-0.20241899692902318,20
2022-12-01,2022-11-30,3m,score_quality,-0.2234824855022193,20
2022-12-01,2022-11-30,3m,score_growth,0.27518796992481204,20
2022-12-01,2022-11-30,3m,score_low_risk,0.01731929674946764,20
2022-12-01,2022-11-30,3m,score_liquidity,0.26315789473684204,20
2022-12-01,2022-11-30,6m,score_momentum,0.27303499486335864,20
2022-12-01,2022-11-30,6m,score_value,-0.42447565773922025,20
2022-12-01,2022-11-30,6m,score_quality,-0.42431471909542995,20
2022-12-01,2022-11-30,6m,score_growth,0.10075187969924812,20
2022-12-01,2022-11-30,6m,score_low_risk,-0.27861477379578375,20
2022-12-01,2022-11-30,6m,score_liquidity,0.23609022556390977,20
2023-01-02,2022-12-29,1m,score_momentum,0.32857142857142857,21
2023-01-02,2022-12-29,1m,score_value,-0.14532514331761984,21
2023-01-02,2022-12-29,1m,score_quality,-0.06451654344593885,21
2023-01-02,2022-12-29,1m,score_growth,0.20779220779220778,21
2023-01-02,2022-12-29,1m,score_low_risk,-0.5355868648932057,21
2023-01-02,2022-12-29,1m,score_liquidity,0.2961038961038961,21
2023-01-02,2022-12-29,3m,score_momentum,0.4142857142857143,21
2023-01-02,2022-12-29,3m,score_value,-0.059954767646731064,21
2023-01-02,2022-12-29,3m,score_quality,0.007820187084356226,21
2023-01-02,2022-12-29,3m,score_growth,0.2324675324675325,21
2023-01-02,2022-12-29,3m,score_low_risk,-0.5355868648932057,21
2023-01-02,2022-12-29,3m,score_liquidity,-0.00909090909090909,21
2023-01-02,2022-12-29,6m,score_momentum,0.2857142857142857,21
2023-01-02,2022-12-29,6m,score_value,-0.4053463638724643,21
2023-01-02,2022-12-29,6m,score_quality,-0.3636386994225645,21
2023-01-02,2022-12-29,6m,score_growth,0.16103896103896104,21
2023-01-02,2022-12-29,6m,score_low_risk,-0.5063375822230671,21
2023-01-02,2022-12-29,6m,score_liquidity,0.13116883116883118,21
2023-02-01,2023-01-31,1m,score_momentum,0.4072152335830871,23
2023-02-01,2023-01-31,1m,score_value,0.09266641554040546,23
2023-02-01,2023-01-31,1m,score_quality,0.08025791498080881,23
2023-02-01,2023-01-31,1m,score_growth,0.366600790513834,23
2023-02-01,2023-01-31,1m,score_low_risk,-0.20909542841302298,23
2023-02-01,2023-01-31,1m,score_liquidity,-0.023715415019762844,23
2023-02-01,2023-01-31,3m,score_momentum,0.22881147226816667,23
2023-02-01,2023-01-31,3m,score_value,-0.07928677265489238,23
2023-02-01,2023-01-31,3m,score_quality,-0.23185619883344769,23
2023-02-01,2023-01-31,3m,score_growth,0.05335968379446641,23
2023-02-01,2023-01-31,3m,score_low_risk,-0.31537324663713634,23
2023-02-01,2023-01-31,3m,score_liquidity,-0.1956521739130435,23
2023-02-01,2023-01-31,6m,score_momentum,0.19866568434514686,23
2023-02-01,2023-01-31,6m,score_value,-0.4162555564381849,23
2023-02-01,2023-01-31,6m,score_quality,-0.38989493265368225,23
2023-02-01,2023-01-31,6m,score_growth,0.06225296442687748,23
2023-02-01,2023-01-31,6m,score_low_risk,-0.3618388973955859,23
2023-02-01,2023-01-31,6m,score_liquidity,-0.07707509881422926,23
2023-03-01,2023-02-28,1m,score_momentum,0.28805423345781905,22
2023-03-01,2023-02-28,1m,score_value,0.0819904692564526,22
2023-03-01,2023-02-28,1m,score_quality,-0.019785202017413996,22
2023-03-01,2023-02-28,1m,score_growth,0.18079098930559603,22
2023-03-01,2023-02-28,1m,score_low_risk,-0.09440367819737536,22
2023-03-01,2023-02-28,1m,score_liquidity,-0.32919254658385094,22
2023-03-01,2023-02-28,3m,score_momentum,0.2925727312375495,22
2023-03-01,2023-02-28,3m,score_value,-0.343229067852874,22
2023-03-01,2023-02-28,3m,score_quality,-0.5692485266153112,22
2023-03-01,2023-02-28,3m,score_growth,0.13446329829603706,22
2023-03-01,2023-02-28,3m,score_low_risk,0.03448278065892154,22
2023-03-01,2023-02-28,3m,score_liquidity,-0.04347826086956522,22
2023-03-01,2023-02-28,6m,score_momentum,0.5055069391073491,22
2023-03-01,2023-02-28,6m,score_value,-0.1656772930492456,22
2023-03-01,2023-02-28,6m,score_quality,-0.20972314138458836,22
2023-03-01,2023-02-28,6m,score_growth,0.39209045805651144,22
2023-03-01,2023-02-28,6m,score_low_risk,-0.019785202017413996,22
2023-03-01,2023-02-28,6m,score_liquidity,-0.1078486730660644,22
2023-04-02,2023-03-30,1m,score_momentum,-0.047995482778091486,22
2023-04-02,2023-03-30,1m,score_value,-0.3234226965516347,22
2023-04-02,2023-03-30,1m,score_quality,-0.4582752973602662,22
2023-04-02,2023-03-30,1m,score_growth,0.051383399209486175,22
2023-04-02,2023-03-30,1m,score_low_risk,-0.16384183405819644,22
2023-04-02,2023-03-30,1m,score_liquidity,-0.012987012987012988,22
2023-04-02,2023-03-30,3m,score_momentum,0.06832298136645965,22
2023-04-02,2023-03-30,3m,score_value,-0.5046753461077171,22
2023-04-02,2023-03-30,3m,score_quality,-0.4435652260869736,22
2023-04-02,2023-03-30,3m,score_growth,0.031055900621118016,22
2023-04-02,2023-03-30,3m,score_low_risk,0.03559322601953922,22
2023-04-02,2023-03-30,3m,score_liquidity,-0.026538678712591763,22
2023-04-02,2023-03-30,6m,score_momentum,0.101072840203275,22
2023-04-02,2023-03-30,6m,score_value,-0.3035981880064382,22
2023-04-02,2023-03-30,6m,score_quality,-0.19292824246895157,22
2023-04-02,2023-03-30,6m,score_growth,0.016374929418407683,22
2023-04-02,2023-03-30,6m,score_low_risk,0.36440683781909206,22
2023-04-02,2023-03-30,6m,score_liquidity,-0.1078486730660644,22
2023-05-01,2023-04-30,1m,score_momentum,0.004519774732639901,22
2023-05-01,2023-04-30,1m,score_value,-0.4396625970675026,22
2023-05-01,2023-04-30,1m,score_quality,-0.19394986865491892,22
2023-05-01,2023-04-30,1m,score_growth,-0.11239763227079606,22
2023-05-01,2023-04-30,1m,score_low_risk,0.35809094904364175,22
2023-05-01,2023-04-30,1m,score_liquidity,-0.03896103896103897,22
2023-05-01,2023-04-30,3m,score_momentum,-0.16666669326609637,22
2023-05-01,2023-04-30,3m,score_value,-0.406234641878092,22
2023-05-01,2023-04-30,3m,score_quality,-0.11761391451960099,22
2023-05-01,2023-04-30,3m,score_growth,-0.262637683446835,22
