family,number,value,param_core_weight,param_reserve_weight,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_buy_mild,param_buy_deep,param_trend_buffer_atr,param_topup_profile,param_atr_len,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
dca_pullback_topup,24,-0.0776793867457719,0.8,0.2,19,5,22,23,-75.0,-50.0,0.8,50_75_100,23,4.4,1.7000000000000002,2.346102899550935,0.5684365667542262,1.9046222894718667,5.0,0.24960510355978938,3.015896504207117,4.0,0.565616585942166,-0.09636358903536935,339714.130217165,2.111629572748305,0.32678079340102983,1.7592533807145687,inf,0.1256663913151691,2.600383364088727,1.0,0.4843250190150179,-0.0776793867457719,0.5620044057607898,398480.5663798601
dca_pullback_topup,25,-0.13943307986005715,0.7,0.2,23,5,29,15,-70.0,-85.0,1.3,50_75_100,18,3.5,2.3,2.2876490256853432,0.5049013733794698,1.9209959919509183,5.0,0.22083106690269116,2.911180654668383,4.0,0.5024510784721179,-0.1595290965054174,327960.7860766551,2.066188680695073,0.2870253597434551,1.7443881371756713,inf,0.11355325739376221,2.527671740390093,1.0,0.42257132590073265,-0.13943307986005715,0.5620044057607898,384617.9700925301
dca_pullback_topup,26,-0.0703696396018092,0.8,0.2,25,5,51,32,-100.0,-115.0,0.9,50_75_100,15,3.0,1.2000000000000002,2.315851727390578,0.5665967108042025,1.8986267668894372,5.0,0.2553496172072811,2.9438935587582855,4.0,0.5637896419076127,-0.09819053306992265,339594.33855384,2.1713472445711175,0.33145520697532826,1.7931616852627807,inf,0.12128788647789035,2.7327972858670386,1.0,0.4916347661589806,-0.0703696396018092,0.5620044057607898,399642.0141022401
dca_pullback_topup,27,-0.08464790154019575,0.8,0.2,27,5,54,33,-100.0,-110.0,0.9,50_75_100,14,1.8,0.5,2.384149015031275,0.5682245461782801,1.9177279211837965,5.0,0.25261153037016615,3.1062563133528176,4.0,0.5654040977467617,-0.09657607723077366,339715.10412596504,2.1316931543021367,0.3223184974051623,1.7650688855434384,inf,0.12152255431402714,2.6523347803590203,1.0,0.47735650422059406,-0.08464790154019575,0.5620044057607898,396562.1705083901
dca_pullback_topup,28,-0.10060094062510982,0.8,0.2,25,4,49,27,-80.0,-130.0,0.7000000000000001,33_66_100,11,3.9000000000000004,2.7,2.2735768363786306,0.5395768636889144,1.8875180757613634,5.0,0.24864625206166202,2.862598365713863,4.0,0.5369242348885195,-0.12505594008901583,334766.09332403255,2.0970329994431625,0.312080363612975,1.7544930687758318,inf,0.1210196559074771,2.5787576511667587,1.0,0.46140346513568,-0.10060094062510982,0.5620044057607898,392365.14480623003
dca_pullback_topup,29,-0.09205721048864945,0.8,0.2,10,5,46,30,-100.0,-95.0,0.30000000000000004,50_75_100,14,3.3000000000000003,2.0,2.3537717873741526,0.5696026020300147,1.9290926682277834,5.0,0.2514786049401453,3.0250191426715687,4.0,0.5667772716310832,-0.0952029033464522,340043.64583659754,2.1069237646655985,0.3175673742299674,1.7472032078408175,inf,0.12207843563933352,2.601338824230867,1.0,0.46994719527214035,-0.09205721048864945,0.5620044057607898,395020.6232073801
dca_pullback_topup,30,-0.10136932561687417,0.8,0.2,17,5,57,32,-95.0,-120.0,1.0,25_50_100,15,2.8,1.7000000000000002,2.242125945384405,0.5285860343876974,1.8772722708942782,5.0,0.24814673161978973,2.79604014174844,4.0,0.525998586711016,-0.13598158826651946,332757.90310147504,2.1365283608449173,0.31158644033359706,1.7839800953860971,inf,0.116835678786544,2.666877477579927,1.0,0.46063508014391563,-0.10136932561687417,0.5620044057607898,392312.0154761901
dca_pullback_topup,31,-0.07121791005012335,0.8,0.2,21,5,44,19,-90.0,-65.0,0.6000000000000001,50_75_100,18,3.2,1.0,2.4057442425139746,0.5715469308809341,1.920189518650945,5.0,0.24789266329307125,3.1568335158931218,4.0,0.5687103968065076,-0.09326977817102777,340185.94411991,2.1806463223756944,0.3309130920463961,1.7836789284566115,inf,0.1198923928947454,2.760084139257339,1.0,0.49078649571066646,-0.07121791005012335,0.5620044057607898,400092.03404765006
dca_pullback_topup,32,-0.07083081792861634,0.8,0.2,23,5,44,24,-100.0,-60.0,0.6000000000000001,50_75_100,18,3.1,1.1,2.422452642817665,0.5767483312109671,1.9365918880595163,5.0,0.2519129032452232,3.1885604742313616,4.0,0.5738802117175337,-0.08809996326000175,341124.90347739257,2.179046028191464,0.3311604867741189,1.7902622668619932,inf,0.12027354782657662,2.7533941815005063,1.0,0.49117358783217346,-0.07083081792861634,0.5620044057607898,400013.4799482501
dca_pullback_topup,33,-0.06669937094367384,0.8,0.2,31,5,52,27,-100.0,-80.0,0.5,50_75_100,16,2.6,1.1,2.4020102248799713,0.5697349920634995,1.9191798532117683,5.0,0.253996612311687,3.1492339454300415,4.0,0.5669068781124325,-0.09507329686510291,340093.52044853504,2.2024541087266916,0.33379980361152795,1.801247323010021,inf,0.11898294389687247,2.8054424666181252,1.0,0.49530503481711596,-0.06669937094367384,0.5620044057607898,400731.1592371401
dca_pullback_topup,34,-0.09814526962743075,0.8,0.2,31,2,52,27,-95.0,-135.0,0.2,50_75_100,15,2.3,0.7,2.47674239464595,0.5618817635649773,1.9282954607290201,5.0,0.25598250174697634,3.338525466260821,4.0,0.5590955381702671,-0.10288463680726823,338389.631654675,2.154944991554813,0.3136583918261917,1.7697442829621106,inf,0.11546775244354979,2.7164154942700036,1.0,0.46385913613335905,-0.09814526962743075,0.5620044057607898,394086.88662831
dca_pullback_topup,35,-0.0712243474371439,0.8,0.2,35,5,55,34,-100.0,-80.0,0.4,50_75_100,10,2.6,1.5,2.305908398843734,0.559227024029471,1.8824273675102416,5.0,0.2530893543220175,2.93062710826104,4.0,0.5564606310464091,-0.10551954393112634,337891.0329277,2.1432520456234694,0.33090897768903194,1.7852944801294655,inf,0.12412207020697641,2.665996282024894,1.0,0.4907800583236459,-0.0712243474371439,0.5620044057607898,399141.31659529003
