date,core_satellite_equity,adaptive_balanced_equity,adaptive_aggressive_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2023-09-27,1019279.42106399,982672.06501877,993926.30865098,1105637.8344580203,855345.5425935,1041689.50640693,1.4555555555555555
2023-10-01,1019513.87084589,990815.49209151,998105.6784868201,1124748.4493419202,893287.6993591702,1041712.48618883,1.4418300653594769
2023-10-02,1013506.0508458901,981608.8920915101,990567.3484868201,1104413.33150179,871982.4440820602,1035573.7561888301,1.4333333333333333
2023-10-03,1005649.6708458902,973194.3120915102,982498.5584868202,1088383.79942196,861348.3288299601,1027546.1861888302,1.4222222222222223
2023-10-04,995944.7308458901,965396.7320915102,973805.4484868201,1086448.6371460499,860596.7236528902,1017629.7761888301,1.4084967320261437
2023-10-08,1004263.25084589,966155.0320915102,978302.4984868201,1055490.1348701399,833208.3036528901,1026129.5561888302,1.4202614379084968
2023-10-09,978383.4108458902,947283.0220915102,956097.4284868202,1048879.94487014,840202.2236528903,999685.7961888302,1.3836601307189542
2023-10-10,980694.11084589,952304.91209151,959740.8184868201,1073679.42487014,855369.6736528903,1002046.8461888301,1.3869281045751634
2023-10-11,996869.01084589,964680.5220915102,973904.0084868202,1069093.35487014,853755.9636528901,1018574.1961888301,1.4098039215686273
2023-10-12,993171.8908458899,967536.81209151,973483.1784868201,1083913.8148701403,881096.8036528901,1014796.51618883,1.4045751633986927
2023-10-15,1010271.07084589,987257.4020915101,991729.00848682,1102774.55487014,910940.2136528903,1032268.28618883,1.4287581699346403
2023-10-16,1026445.9708458901,1007499.6620915101,1009825.1284868201,1180972.71487014,946489.3236528902,1048795.6361888302,1.4516339869281045
2023-10-17,1062030.75084589,1043898.0620915102,1045579.2784868202,1228778.6848701402,986201.1936528902,1085155.8061888302,1.5019607843137255
2023-10-18,1151223.77084589,1114127.7120915102,1124688.45848682,1230104.34487014,986603.7236528902,1176292.3361888302,1.6281045751633987
2023-10-19,1143367.39084589,1104214.58209151,1115864.55848682,1217639.04487014,968922.0036528902,1168264.7661888301,1.6169934640522874
2023-10-22,1091607.71084589,1070538.85209151,1073479.5784868202,1258238.27487014,1002211.7336528901,1115377.2461888301,1.5437908496732027
2023-10-23,1117487.55084589,1096267.28209151,1099114.35848682,1316625.7448701402,1027634.0036528902,1141821.0061888301,1.580392156862745
2023-10-24,1139670.27084589,1114730.84209151,1119294.3184868202,1340533.55487014,1032485.5336528904,1164487.0861888302,1.6117647058823528
2023-10-25,1145215.9508458902,1128559.88209151,1128948.1284868203,1426037.1748701402,1077200.34365289,1170153.6061888302,1.619607843137255
2023-10-26,1183573.57084589,1156977.0420915103,1162075.44848682,1424873.1448701401,1068947.46365289,1209347.0361888302,1.6738562091503266
2023-10-29,1201597.03084589,1171035.05209151,1177997.5784868202,1397686.9125191998,1068380.71365289,1227763.22618883,1.6993464052287581
2023-10-30,1181262.87084589,1159719.16209151,1162322.77848682,1445869.5225192,1090446.7236528902,1206985.98618883,1.6705882352941175
2023-10-31,1198824.1908458902,1162618.4820915102,1172438.4584868203,1336746.2725192,1038863.5836528903,1224929.96618883,1.6954248366013072
2023-11-01,1163185.32388709,1134798.0515322,1140999.5788248403,1324822.96366558,1039923.16781445,1188303.33470423,1.6313725490196078
2023-11-02,1157127.32388709,1134154.6415322,1137689.25882484,1348996.3186616,1059395.6671642303,1182114.29470423,1.6228758169934638
2023-11-05,1167845.32388709,1146802.5215322,1149295.16882484,1377631.62350554,1079351.97505939,1193064.1347042301,1.6379084967320259
2023-11-06,1190679.32388709,1165186.7815322003,1169727.7388248402,1371704.8526512,1081430.27235431,1216392.0547042303,1.6699346405228759
2023-11-07,1190213.32388709,1167630.4315322002,1170719.38882484,1394933.2604003001,1094754.70004939,1215915.9747042302,1.6692810457516338
2023-11-08,1207921.32388709,1185847.2915322003,1188574.31882484,1420913.0404002997,1115024.3436718401,1234007.0147042302,1.6941176470588235
2023-11-09,1237745.32388709,1209364.7215322,1215043.37882484,1427194.5104003,1115283.9374443502,1264476.1347042301,1.7359477124183005
2023-11-12,1254521.32388709,1218601.4815322002,1227946.34882484,1409774.2304003,1096529.5313169002,1281615.0147042302,1.7594771241830065
2023-11-13,1233551.32388709,1201815.2115322,1209209.02882484,1410962.0604003,1095165.5513169002,1260191.4147042301,1.730065359477124
2023-11-14,1236347.32388709,1202255.0615322003,1210818.27882484,1422982.2604003,1086808.0013169001,1263047.8947042301,1.7339869281045752
2023-11-15,1233085.32388709,1199870.8215322,1208016.79882484,1431353.9304002998,1087673.1213169,1259715.33470423,1.7294117647058824
2023-11-16,1245201.32388709,1212919.0115322,1220499.03882484,1450587.0404003,1104367.9313169003,1272093.4147042301,1.7464052287581697
2023-11-19,1257783.32388709,1225477.9415322,1232975.53882484,1468947.3004003,1117006.6913169,1284947.57470423,1.764052287581699
2023-11-20,1294597.32388709,1251816.0115322003,1264312.11882484,1453868.8304003,1104606.5313169002,1322557.8947042301,1.815686274509804
2023-11-21,1295995.32388709,1251918.8315322,1265039.87882484,1442330.7104002999,1099874.9013169,1323986.1347042301,1.8176470588235292
2023-11-22,1275957.32388709,1238615.6015322001,1248484.47882484,1451178.3804003,1111552.1513169003,1303514.6947042302,1.7895424836601306
2023-11-23,1290403.32388709,1253771.9015322002,1263176.9388248401,1451795.9904003001,1129491.3713169,1318273.1747042302,1.8098039215686275
2023-11-26,1340265.32388709,1294072.6515322002,1307914.9888248402,1448887.3404003,1134636.0213169002,1369213.7347042302,1.8797385620915033
2023-11-27,1303917.32388709,1266799.2115322002,1276337.7188248402,1478243.2904003,1140907.5113169,1332079.4947042302,1.8287581699346405
2023-11-28,1342129.32388709,1293916.9415322002,1308730.0688248402,1443665.4304002998,1127061.8713169002,1371118.0547042303,1.8823529411764706
2023-11-29,1294597.32388709,1251394.5315322003,1264051.20882484,1430295.6304003,1102654.5113169001,1322557.8947042301,1.815686274509804
2023-11-30,1276423.32388709,1239315.0615322,1249050.62882484,1451549.4304002998,1113131.7913169002,1303990.7747042303,1.7901960784313724
2023-12-03,1284842.91293469,1246828.7284308402,1256987.26955001,1480657.71936681,1117081.5470060902,1312379.61422403,1.788235294117647
2023-12-04,1276390.47293469,1246147.4384308401,1252375.76955001,1518127.06364954,1144599.48953012,1303745.55422403,1.776470588235294
2023-12-05,1312078.5529346901,1273760.6584308401,1283851.98955001,1494714.44196587,1143029.4641739803,1340200.47422403,1.8261437908496732
2023-12-06,1305034.8529346902,1264398.4284308401,1275738.65955001,1463267.0243838402,1125183.5885177203,1333005.42422403,1.8163398692810455
2023-12-07,1282964.5929346902,1244677.7084308402,1254993.5795500102,1455998.56860653,1113768.7434617002,1310460.93422403,1.7856209150326796
2023-12-10,1282025.4329346903,1240645.3384308403,1252557.8295500102,1421279.7846549498,1098435.99605874,1309501.5942240302,1.784313725490196
2023-12-11,1256668.1129346902,1216726.5684308403,1228086.53955001,1391637.0227041703,1079496.44893089,1283599.4142240302,1.7490196078431373
2023-12-12,1256198.5329346901,1216885.0584308403,1227927.85955001,1390458.38270417,1081963.6319531002,1283119.74422403,1.7483660130718954
2023-12-13,1250563.5729346902,1219878.2184308402,1226542.4895500098,1459432.5827041701,1116319.3150753502,1277363.70422403,1.7405228758169933
2023-12-14,1313017.71293469,1272000.2884308402,1283490.02955001,1455380.4027041702,1131407.4450753499,1341159.8142240301,1.8274509803921568
2023-12-17,1321000.5729346902,1284522.9384308401,1293641.67955001,1485256.3427041702,1160580.4250753503,1349314.20422403,1.8385620915032679
2023-12-18,1287660.3929346902,1263319.2884308402,1266472.6095500102,1523215.48270417,1183260.95507535,1315257.6342240302,1.7921568627450981
2023-12-19,1315365.6129346902,1282508.2784308402,1289817.72955001,1513143.46270417,1171690.4950753502,1343558.1642240302,1.830718954248366
2023-12-20,1302217.3729346902,1267783.9184308401,1276002.11955001,1498153.98270417,1151080.2650753502,1330127.40422403,1.8124183006535948
2023-12-21,1290008.2929346901,1253229.5084308402,1262738.92955001,1468669.6227041704,1127925.9850753504,1317655.98422403,1.795424836601307
2023-12-24,1299399.8929346902,1256084.8084308403,1268884.5995500102,1434228.18270417,1107057.0650753502,1327249.3842240302,1.8084967320261438
2023-12-25,1237415.3329346902,1209612.5684308403,1214910.02955001,1448089.0127041698,1116625.44507535,1263932.94422403,1.7222222222222223
2023-12-26,1258076.8529346902,1221480.2084308402,1231131.31955001,1433643.26270417,1096656.6850753503,1285038.42422403,1.7509803921568625
2023-12-27,1246337.3529346902,1217063.7484308402,1223045.83955001,1470732.77270417,1118791.4250753503,1273046.67422403,1.7346405228758168
2023-12-28,1264181.3929346902,1233465.1184308403,1240053.6795500102,1476954.46270417,1130118.1350753503,1291274.1342240302,1.7594771241830065
2023-12-31,1281086.2729346901,1247561.5584308403,1255466.4295500102,1480045.7327041698,1134113.5750753502,1308542.25422403,1.7830065359477123
2024-01-02,1300817.68145611,1269433.55278952,1276556.7527646802,1527551.2378161498,1165488.3206761703,1328486.27170101,1.7967320261437907
2024-01-03,1332048.22145611,1292946.6627895199,1303733.2527646802,1537557.11386558,1162553.74389046,1360381.4317010099,1.8398692810457515
2024-01-04,1327316.32145611,1286699.4727895202,1298193.7827646802,1523721.05463289,1150328.9473548504,1355548.83170101,1.8333333333333333
2024-01-08,1339619.26145611,1294521.7327895202,1308482.2327646802,1516317.3094268101,1145452.1111943903,1368113.5917010098,1.8503267973856208
2024-01-09,1323530.80145611,1283828.9427895201,1295677.7527646802,1534570.92547523,1157610.4150589402,1351682.75170101,1.8281045751633986
2024-01-10,1325423.5614561103,1285197.4527895201,1297168.5327646802,1536971.10344942,1156043.8850589402,1353615.79170101,1.830718954248366
