family,number,value,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_cci_threshold,param_allocation_ladder,param_atr_len,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
kama_cci_atr_allocation,157,-0.09071865245194055,36,5,54,30,5.0,100_60_20,17,2.9000000000000004,2.1,2.5502716291737584,0.6586245788902003,2.0448341338374023,0.7089103718765233,0.2406505324617324,5.015387580670571,3.0,0.6552802276815464,-0.0066999472959889395,352869.19945652515,2.4141124343211406,0.3184262098022437,1.7426354865333868,18.406083692765293,0.09448121880342164,3.3702593365646956,6.0,0.47128575330884925,-0.09071865245194055,0.5620044057607898,399826.86717053025
kama_cci_atr_allocation,158,-0.08903649221235077,37,5,52,31,5.0,100_60_20,18,2.8,2.1,2.497055398207976,0.647612915895097,2.022347983195015,0.698203885647548,0.24311163519394563,4.903035820200649,3.0,0.6443372412006587,-0.01764293377687659,351217.06245693506,2.419696938867103,0.319505190155138,1.7475750003136434,18.469504477273265,0.09448879476552807,3.3814082500256597,6.0,0.47296791354843903,-0.08903649221235077,0.5620044057607898,400236.19351836015
kama_cci_atr_allocation,159,-0.10077705584744567,35,5,53,30,5.0,100_60_20,15,2.5,2.4000000000000004,2.6051304076218744,0.6843220489919233,2.0667484445916924,0.7089103718765233,0.2406505324617324,5.125084297807959,5.0,0.6808147372782724,0.01883456230073699,356644.9392936201,2.3809754201992064,0.3119671620272537,1.7200927769792624,19.82827965478026,0.09448927714006727,3.3016144420790265,6.0,0.46122734991334413,-0.10077705584744567,0.5620044057607898,398190.3510131302
kama_cci_atr_allocation,160,-0.07772629149847021,37,5,54,32,0.0,100_60_20,18,2.5,2.0,2.4148905124726148,0.6290094013285847,1.9671183582515164,0.6443631994166871,0.28138810161062056,4.752451937730283,5.0,0.625836409623078,-0.0361437653544574,347671.9339636726,2.4508506217179695,0.3267507778137235,1.778520347796851,19.527316289608674,0.09495153053930705,3.4412376078388607,6.0,0.4842781142623196,-0.07772629149847021,0.5620044057607898,401962.8451698002
kama_cci_atr_allocation,161,-0.09235251746498019,37,5,54,32,0.0,100_60_20,18,2.7,2.0,2.5306207757992554,0.6554971510496228,2.0332148755854704,0.6975888398163562,0.24311644180017367,4.977203774953469,3.0,0.6521729579542228,-0.009807217023312609,352224.05560144264,2.4016304788483995,0.3173778716720088,1.7354624672103003,16.210179191211846,0.09494721594479039,3.342676965447378,6.0,0.4696518882958096,-0.09235251746498019,0.5620044057607898,400062.1383462601
kama_cci_atr_allocation,162,-0.16211245534279017,14,5,55,31,0.0,100_60_20,17,2.5,2.1,2.187368181339172,0.5832835598825985,1.87431210614062,0.4832520633025083,0.29380515820078557,4.313093998769708,5.0,0.5803726193605292,-0.08160755561700617,340008.8476573902,2.1164132461562444,0.2723025345637,1.5488736692823004,13.087976406265504,0.09939563815588803,2.7395823359635956,7.0,0.39989195041799963,-0.16211245534279017,0.5620044057607898,387330.9816666503
kama_cci_atr_allocation,163,-0.07605240531915713,38,5,53,32,5.0,100_60_20,16,2.6,2.0,2.3063500289577097,0.6016176682161674,1.9397085733742125,0.6975888398163562,0.24311644180017367,4.491920568280563,5.0,0.5986167352141911,-0.06336343976334424,343577.65511649003,2.4567134240361144,0.3278217749902801,1.7846719656206194,19.66360382434795,0.0949483192344246,3.4526337868172035,6.0,0.48595200044163267,-0.07605240531915713,0.5620044057607898,402032.6778568802
kama_cci_atr_allocation,164,-0.08132914803948421,38,5,53,32,5.0,100_60_20,16,2.6,2.2,2.3063500289577097,0.6016176682161674,1.9397085733742125,0.6975888398163562,0.24311644180017367,4.491920568280563,5.0,0.5986167352141911,-0.06336343976334424,343577.65511649003,2.439038617749391,0.3244444088463281,1.7699452557490105,20.687945991527695,0.09495071053415371,3.4169771560543047,6.0,0.4806752577213056,-0.08132914803948421,0.5620044057607898,401081.69088333007
kama_cci_atr_allocation,165,-0.09235251746498019,38,5,50,32,0.0,100_60_20,17,2.8,2.0,2.4922532416584087,0.6516324925248924,2.021511026925242,0.6975888398163562,0.24311644180017367,4.888567028664674,3.0,0.6483296917407403,-0.013650483236795075,351627.8355318201,2.4016304788483995,0.3173778716720088,1.7354624672103003,16.210179191211846,0.09494721594479039,3.342676965447378,6.0,0.4696518882958096,-0.09235251746498019,0.5620044057607898,400062.1383462601
kama_cci_atr_allocation,166,-0.19034275145756463,37,3,51,31,0.0,100_60_20,18,2.7,2.0,2.568401144954161,0.5900836470644995,1.9201872027838094,0.569253181892811,0.2695286434686013,5.211129104298491,4.0,0.5871473361812506,-0.07483283879628477,341268.2014429601,2.038846111263535,0.2538811497112292,1.4750651922263986,9.410915963959718,0.09803833672056028,2.589610944082715,7.0,0.3716616543032252,-0.19034275145756463,0.5620044057607898,381947.2286657302
