family,number,value,param_regime_ma,param_rsi_len,param_rsi_entry,param_rsi_exit,param_bb_len,param_bb_std,param_atr_stop,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity
mean_reversion,26,0.4265612492520644,229,12,30.5,65.0,36,1.7,2.4000000000000004,0.4265612492520644,0.020170053412309874,0.24113523701501674,2.3377324475965295,0.08077404561091628,0.24971565175810193,4.0,0.020088426723832098,-0.6418917482537032,237960.874524545
mean_reversion,27,-0.06619801749775353,191,19,29.0,45.0,31,2.0,1.9,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,28,0.5613591944485502,165,16,32.0,66.0,37,2.0,2.4000000000000004,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,29,-0.06619801749775353,238,19,24.5,60.5,28,2.1,2.9000000000000004,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,30,0.46932191345685237,210,13,35.0,69.0,34,2.7,2.6,0.46932191345685237,0.022284346619294904,0.2899133678961624,2.5,0.08077404561091628,0.2758916454839906,2.0,0.022193982527264067,-0.6397861924502712,238329.08131240503
mean_reversion,31,0.8453502401874272,217,18,38.0,68.5,40,2.3,3.1,0.8453502401874272,0.04789492694703096,0.5092397956651606,5.094196523437901,0.08077404561091628,0.6457835723184164,5.0,0.04769874018633852,-0.6142814347911969,242965.85258620256
mean_reversion,32,0.5917551527105451,223,18,38.0,70.0,38,2.3,3.0,0.5917551527105451,0.040632456045583076,0.4637325993711504,2.5,0.08077404561091628,0.5030507575554473,2.0,0.040464860713305795,-0.6215153142642296,241343.25502163003
mean_reversion,33,0.31899540552831385,209,2,34.5,66.0,40,1.9,3.5,0.31899540552831385,-0.002883391844131694,-0.006839838483861327,2.5,0.08077404561091628,0.03020859829846602,6.0,-0.0028736215191342285,-0.6648537964966696,234410.60036064254
mean_reversion,34,0.4461663714806209,192,16,32.5,68.5,33,2.5,3.7,0.4461663714806209,0.020474734258907057,0.22442345428438704,2.5,0.08394348433641652,0.2439168473057402,2.0,0.02039185061638893,-0.6415883243611464,238058.7627789
mean_reversion,35,0.7480303293391383,241,19,37.0,56.5,36,2.2,2.9000000000000004,0.7480303293391383,0.034261704707744534,0.3659485870770055,3.75,0.08394348433641652,0.4664286200905014,3.0,0.034122697975915106,-0.6278574770016203,240930.1417512075
mean_reversion,36,0.16020770893902392,229,4,38.5,63.5,38,2.1,4.0,0.16020770893902392,0.003032951258754274,0.027075062817291023,1.25,0.08077404561091628,0.08483972958060607,5.0,0.003019849301904548,-0.6589603256756309,235971.76677789757
mean_reversion,37,-0.06619801749775353,182,20,29.5,67.0,10,2.9000000000000004,2.3,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,38,0.23834978628572573,225,7,40.0,65.0,17,2.5,2.0,0.23834978628572573,0.01253174026828796,0.10064862451738413,1.25,0.08077404561091628,0.24549072179567724,6.0,0.012478733339431503,-0.6495014416381039,237960.20466999756
mean_reversion,39,-0.06619801749775353,144,15,15.0,68.5,35,1.9,3.8000000000000003,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,40,0.4461663714806209,236,8,18.5,60.0,38,1.7,3.2,0.4461663714806209,0.020474734258907057,0.22442345428438704,2.5,0.08394348433641652,0.2439168473057402,2.0,0.02039185061638893,-0.6415883243611464,238058.7627789
mean_reversion,41,0.6616871967259956,220,18,38.0,53.5,40,2.3,3.0,0.6616871967259956,0.02969568975347181,0.3430130354176592,3.3289969238288433,0.08077404561091628,0.4204675756586752,5.0,0.029575521226093915,-0.6324046537514414,239976.03048633755
mean_reversion,42,-0.06619801749775353,214,17,27.0,69.5,39,2.3,2.7,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,43,0.4597868988370485,197,19,35.5,68.0,36,2.4,3.2,0.4597868988370485,0.022609165347284688,0.2431569063158281,2.5,0.08394348433641652,0.26934450433373724,2.0,0.02251745584475978,-0.6394627191327755,238487.862771575
mean_reversion,44,0.8453502401874272,206,18,37.0,66.0,40,2.2,3.5,0.8453502401874272,0.04789492694703096,0.5092397956651606,5.094196523437901,0.08077404561091628,0.6457835723184164,5.0,0.04769874018633852,-0.6142814347911969,242965.85258620256
mean_reversion,45,0.8113712937081858,246,14,38.5,68.5,37,2.0,2.8,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,46,0.5613591944485502,214,19,33.5,67.5,39,2.6,2.6,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,47,-0.08811526871668789,197,16,36.5,50.0,33,2.5,2.1,-0.08811526871668789,-0.003368172083926757,-0.028188348121311206,0.0,0.08077404561091628,-0.04169969864421588,2.0,-0.003354851262659553,-0.6653350262401949,234496.7747392475
mean_reversion,48,0.4461663714806209,133,20,34.5,62.0,22,2.1,3.1,0.4461663714806209,0.020474734258907057,0.22442345428438704,2.5,0.08394348433641652,0.2439168473057402,2.0,0.02039185061638893,-0.6415883243611464,238058.7627789
mean_reversion,49,0.4461663714806209,230,17,31.5,64.0,30,1.8,2.5,0.4461663714806209,0.020474734258907057,0.22442345428438704,2.5,0.08394348433641652,0.2439168473057402,2.0,0.02039185061638893,-0.6415883243611464,238058.7627789
mean_reversion,50,0.16062649877894858,181,18,39.0,69.5,19,2.4,2.9000000000000004,0.16062649877894858,0.003032951258754246,0.02986699508345661,1.25,0.08077404561091628,0.08483972958060573,5.0,0.0030198493019045203,-0.6589603256756309,235971.76677789757
mean_reversion,51,0.8113712937081858,206,18,37.5,66.0,40,2.2,3.4000000000000004,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,52,0.5613591944485502,217,19,36.5,65.5,39,2.3,3.6,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,53,0.8113712937081858,206,15,40.0,67.0,40,2.2,3.8000000000000003,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,54,0.5613591944485502,198,20,35.5,62.5,38,2.1,3.4000000000000004,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,55,0.6808257332749128,225,17,39.0,68.0,36,2.0,3.2,0.6808257332749128,0.02797762595815423,0.3185101344702316,3.5877324475965295,0.08077404561091628,0.38176346069691947,5.0,0.027864539922534903,-0.6341156350550005,239675.44518090502
mean_reversion,56,0.5613591944485502,235,18,34.0,69.0,39,2.2,2.7,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,57,0.4461663714806209,185,19,37.0,66.5,34,2.4,3.1,0.4461663714806209,0.020474734258907057,0.22442345428438704,2.5,0.08394348433641652,0.2439168473057402,2.0,0.02039185061638893,-0.6415883243611464,238058.7627789
mean_reversion,58,-0.06619801749775353,207,20,24.0,64.5,37,2.3,2.3,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,59,0.5571068096853374,168,16,36.0,70.0,40,2.1,3.5,0.5571068096853374,0.03624238758657111,0.38644811490398323,3.844196523437901,0.08077404561091628,0.44869945656165233,4.0,0.03609349805518319,-0.6258866769223521,240523.57360657005
mean_reversion,60,0.46932191345685237,201,17,38.0,67.5,35,2.2,1.4,0.46932191345685237,0.022284346619294904,0.2899133678961624,2.5,0.08077404561091628,0.2758916454839906,2.0,0.022193982527264067,-0.6397861924502712,238329.08131240503
mean_reversion,61,0.7985872657107402,213,20,39.0,69.0,39,2.2,2.8,0.7985872657107402,0.043426887154946525,0.4156313419526566,5.040576092354714,0.08183319852208337,0.5673257157944896,5.0,0.043249181668100545,-0.6187309933094348,242145.04878166504
mean_reversion,62,0.5917551527105451,220,19,40.0,66.5,37,2.3,3.0,0.5917551527105451,0.040632456045583076,0.4637325993711504,2.5,0.08077404561091628,0.5030507575554473,2.0,0.040464860713305795,-0.6215153142642296,241343.25502163003
mean_reversion,63,0.8113712937081858,205,18,37.5,68.0,40,2.1,2.4000000000000004,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,64,0.7985872657107402,193,20,39.0,67.0,38,2.0,2.5,0.7985872657107402,0.043426887154946525,0.4156313419526566,5.040576092354714,0.08183319852208337,0.5673257157944896,5.0,0.043249181668100545,-0.6187309933094348,242145.04878166504
mean_reversion,65,0.5613591944485502,211,18,35.5,65.5,39,2.4,3.3000000000000003,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,66,0.4597868988370485,216,19,37.0,70.0,36,2.3,2.9000000000000004,0.4597868988370485,0.022609165347284688,0.2431569063158281,2.5,0.08394348433641652,0.26934450433373724,2.0,0.02251745584475978,-0.6394627191327755,238487.862771575
mean_reversion,67,0.8113712937081858,154,14,38.0,69.0,38,1.9,2.7,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,68,0.5571068096853374,201,11,28.5,64.0,40,2.2,2.8,0.5571068096853374,0.03624238758657111,0.38644811490398323,3.844196523437901,0.08077404561091628,0.44869945656165233,4.0,0.03609349805518319,-0.6258866769223521,240523.57360657005
mean_reversion,69,-0.06619801749775353,223,20,32.5,65.5,25,2.1,2.6,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,70,0.48662182449514646,187,17,30.0,55.0,34,2.0,3.0,0.48662182449514646,0.024715993292482974,0.27464072201760087,2.5,0.07651070060624998,0.32304745297263376,2.0,0.024615538427097183,-0.6373646365504382,238692.31302654502
mean_reversion,71,0.8453502401874272,202,19,40.0,67.5,37,2.2,3.1,0.8453502401874272,0.04789492694703096,0.5092397956651606,5.094196523437901,0.08077404561091628,0.6457835723184164,5.0,0.04769874018633852,-0.6142814347911969,242965.85258620256
mean_reversion,72,0.8453502401874272,195,19,39.5,68.0,37,2.2,3.1,0.8453502401874272,0.04789492694703096,0.5092397956651606,5.094196523437901,0.08077404561091628,0.6457835723184164,5.0,0.04769874018633852,-0.6142814347911969,242965.85258620256
mean_reversion,73,0.5917551527105451,209,19,39.5,67.5,37,2.3,3.3000000000000003,0.5917551527105451,0.040632456045583076,0.4637325993711504,2.5,0.08077404561091628,0.5030507575554473,2.0,0.040464860713305795,-0.6215153142642296,241343.25502163003
mean_reversion,74,0.46932191345685237,197,18,38.5,68.5,35,2.2,3.2,0.46932191345685237,0.022284346619294904,0.2899133678961624,2.5,0.08077404561091628,0.2758916454839906,2.0,0.022193982527264067,-0.6397861924502712,238329.08131240503
mean_reversion,75,-0.06619801749775353,179,19,36.5,66.5,13,2.5,3.5,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,76,0.4838924407010845,193,16,39.5,69.5,36,2.4,3.1,0.4838924407010845,0.024428638608862296,0.3119742922141652,2.5,0.08077404561091628,0.3024391219994349,2.0,0.024329378451667716,-0.6376507965258676,238759.67755658
mean_reversion,77,-0.09383835912405003,225,10,37.5,67.5,32,2.3,3.4000000000000004,-0.09383835912405003,-0.006858342212478913,-0.031875170743323945,0.0,0.13186751935041652,-0.05201066559535253,2.0,-0.006831313341611023,-0.6688114883191463,233975.30823522003
mean_reversion,78,-0.06619801749775353,203,17,26.5,68.5,38,2.2,2.9000000000000004,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,79,0.8113712937081858,232,18,38.5,66.0,37,2.1,3.0,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,80,0.5613591944485502,211,20,35.0,58.0,39,2.4,3.6,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,81,0.8113712937081858,217,19,40.0,68.0,40,2.1,2.7,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,82,0.8113712937081858,220,19,39.0,67.0,39,2.2,2.8,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,83,0.5613591944485502,197,20,38.0,69.0,38,2.3,3.1,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,84,0.8453502401874272,204,18,37.0,65.0,40,2.1,3.2,0.8453502401874272,0.04789492694703096,0.5092397956651606,5.094196523437901,0.08077404561091628,0.6457835723184164,5.0,0.04769874018633852,-0.6142814347911969,242965.85258620256
mean_reversion,85,0.864054962636312,209,18,36.5,65.0,40,2.1,3.2,0.864054962636312,0.051657136773781864,0.5193100435096761,3.75,0.08183319852208337,0.6859513835982288,3.0,0.051444928135661594,-0.6105352468418738,243691.7360697275
mean_reversion,86,0.8453502401874272,214,16,36.0,63.0,37,2.0,3.3000000000000003,0.8453502401874272,0.04789492694703096,0.5092397956651606,5.094196523437901,0.08077404561091628,0.6457835723184164,5.0,0.04769874018633852,-0.6142814347911969,242965.85258620256
mean_reversion,87,0.3840091630926173,208,5,35.0,64.5,38,1.8,2.9000000000000004,0.3840091630926173,0.008715931654149855,0.0958519716314932,2.5,0.09361517503642869,0.14554549008561124,6.0,0.008680024805723496,-0.6533001501718119,236798.40224409758
mean_reversion,88,0.8113712937081858,222,13,36.5,66.0,39,2.0,3.2,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
