family,number,value,param_entry_lookback,param_exit_lookback,param_regime_ma,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity
breakout,188,3.3202748380201057,45,20,229,2.8,2.2,3.3202748380201057,0.42584675281329026,2.046486014125988,13.030503974431507,0.11311036157678334,6.071133436792223,6.0,0.4238199272897054,-0.23816024768782995,310078.5638964775
breakout,189,3.5566855883277584,52,22,233,2.7,2.5,3.5566855883277584,0.48616378735855403,2.157558499032754,3.75,0.13081040295526492,6.477836475888963,4.0,0.4838248314330211,-0.1781553435445143,321188.3895546476
breakout,190,3.3202748380201057,49,19,237,2.9000000000000004,2.2,3.3202748380201057,0.42584675281329026,2.046486014125988,13.030503974431507,0.11311036157678334,6.071133436792223,6.0,0.4238199272897054,-0.23816024768782995,310078.5638964775
breakout,191,3.667967902599444,43,17,223,2.6,2.3,3.667967902599444,0.4802577850129723,2.203391318361762,5.82987620765195,0.12540253242285737,6.743275778604913,5.0,0.4779535389837393,-0.18402663599379604,319776.21400586504
breakout,192,2.9869691268703535,39,17,221,2.8,2.3,2.9869691268703535,0.4279713179479617,1.966240620706537,6.061412771384737,0.12540253242285737,5.280000447657788,7.0,0.4259514819198834,-0.23602869305765195,311472.7610107926
breakout,193,3.662511238616129,43,15,216,2.6,2.3,3.662511238616129,0.479133035624361,2.2030026000467045,5.815755866888378,0.12538556366246423,6.73062192369629,5.0,0.4768348950348906,-0.18514527994264474,319580.02288759
breakout,194,3.2087629359435415,44,14,245,2.7,2.4000000000000004,3.2087629359435415,0.4074004737564598,1.9601511416231574,3.75,0.12981898545339854,5.741028481867011,6.0,0.4054679469972484,-0.25651222798028694,308757.3493373676
breakout,195,2.9818118673555585,41,16,223,2.7,2.3,2.9818118673555585,0.4268920185067018,1.965222560205441,6.036348591325953,0.12538556366246423,5.268297120454569,7.0,0.42487788521897646,-0.2371022897585589,311283.10845984507
breakout,196,3.5266246444555165,46,15,227,2.6,3.7,3.5266246444555165,0.4717173018974194,2.1628630866592187,3.75,0.16741274749134882,6.411511088179631,4.0,0.46945303303051383,-0.19252714194702153,318757.21909751004
breakout,197,3.2114372086446257,43,17,219,2.9000000000000004,2.2,3.2114372086446257,0.4088077938629154,1.9938075217459494,12.735810931709567,0.13317704845212108,5.942059769466119,7.0,0.4068735233930481,-0.25510665158448725,306800.06538500753
breakout,198,3.2087629359435415,47,14,224,3.0,2.4000000000000004,3.2087629359435415,0.4074004737564598,1.9601511416231574,3.75,0.12981898545339854,5.741028481867011,6.0,0.4054679469972484,-0.25651222798028694,308757.3493373676
breakout,199,3.3142243076898317,51,16,220,2.8,2.1,3.3142243076898317,0.4248353707187547,2.0456193714548228,12.974523908721054,0.1130965138359602,6.059417082087534,6.0,0.4228136542902663,-0.23916652068726907,309901.1577849125
breakout,200,3.771598422751647,48,19,216,4.9,2.3,3.771598422751647,0.4980640229625663,2.258328181727134,3.75,0.10515377425461458,6.968420900017412,4.0,0.4956604839085233,-0.16631969106901207,323182.9358191675
breakout,201,3.089157438597033,40,21,216,4.9,2.3,3.089157438597033,0.45566820621473003,1.9589357903155147,9.182237316419371,0.1254093071068375,5.406328716359628,7.0,0.4534995976066143,-0.20848057737092107,315889.87983813003
breakout,202,3.771598422751647,47,19,217,4.6,2.3,3.771598422751647,0.4980640229625663,2.258328181727134,3.75,0.10515377425461458,6.968420900017412,4.0,0.4956604839085233,-0.16631969106901207,323182.9358191675
breakout,203,3.3202748380201057,48,17,217,4.800000000000001,2.2,3.3202748380201057,0.42584675281329026,2.046486014125988,13.030503974431507,0.11311036157678334,6.071133436792223,6.0,0.4238199272897054,-0.23816024768782995,310078.5638964775
breakout,204,3.575055818000143,43,19,221,4.5,2.4000000000000004,3.575055818000143,0.4700204416351828,2.162321393319817,5.518507698857331,0.15046912433174242,6.534061206093865,5.0,0.46777055735341533,-0.19420961762412003,318060.2310177751
breakout,205,3.7658078403310427,46,15,215,4.5,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,206,3.641603660916206,46,15,214,4.4,2.4000000000000004,3.641603660916206,0.48654818602417743,2.2145494476175043,3.75,0.13077982253121745,6.668472434038317,4.0,0.48420650451172315,-0.17777367046581222,321244.49559360504
breakout,207,2.8446736042262017,49,13,213,5.0,2.2,2.8446736042262017,0.35272015373260496,1.7624950887936244,8.9622130100534,0.11309847792321148,5.214860743012524,8.0,0.3510458286401139,-0.31093434633742145,298471.96683491254
breakout,208,3.646955342566901,45,19,217,4.7,2.5,3.646955342566901,0.4876629598822676,2.2149787913547927,3.75,0.130801453165016,6.680856059173231,4.0,0.48531525715689383,-0.17666491782064153,321439.1949871875
breakout,209,2.9818118673555585,37,16,211,4.7,2.3,2.9818118673555585,0.4268920185067018,1.965222560205441,6.036348591325953,0.12538556366246423,5.268297120454569,7.0,0.42487788521897646,-0.2371022897585589,311283.10845984507
breakout,210,3.2206468267798005,51,36,219,4.9,2.3,3.2206468267798005,0.47291246634201056,2.1073372099191188,3.75,0.10606740355373223,5.6664918718289,4.0,0.47065020789724005,-0.19132996708029532,318935.92877756257
breakout,211,3.771598422751647,48,18,223,2.5,2.3,3.771598422751647,0.4980640229625663,2.258328181727134,3.75,0.10515377425461458,6.968420900017412,4.0,0.4956604839085233,-0.16631969106901207,323182.9358191675
breakout,212,3.646955342566901,48,18,216,4.6,2.4000000000000004,3.646955342566901,0.4876629598822676,2.2149787913547927,3.75,0.130801453165016,6.680856059173231,4.0,0.48531525715689383,-0.17666491782064153,321439.1949871875
breakout,213,3.0928453020082,42,18,223,2.5,2.3,3.0928453020082,0.4552273331310253,1.9966562142699462,9.16714516041056,0.12540253242285737,5.401733279611935,7.0,0.4530610889448244,-0.20891908603271098,315812.7047149225
breakout,214,3.3202748380201057,45,20,227,2.4,2.2,3.3202748380201057,0.42584675281329026,2.046486014125988,13.030503974431507,0.11311036157678334,6.071133436792223,6.0,0.4238199272897054,-0.23816024768782995,310078.5638964775
breakout,215,3.7658078403310427,50,15,220,4.2,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,216,3.7658078403310427,49,15,213,4.2,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,217,2.8446736042262017,50,14,215,4.2,2.2,2.8446736042262017,0.35272015373260496,1.7624950887936244,8.9622130100534,0.11309847792321148,5.214860743012524,8.0,0.3510458286401139,-0.31093434633742145,298471.96683491254
breakout,218,3.5236102681050943,53,15,212,4.0,2.4000000000000004,3.5236102681050943,0.469607047586786,2.143491640454557,3.75,0.13077982253121745,6.412817663217841,4.0,0.4673606473017054,-0.19461952767582996,318305.10341054254
breakout,219,3.7658078403310427,48,15,207,4.5,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,220,3.7658078403310427,47,15,212,4.5,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,221,3.7658078403310427,47,15,210,4.5,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,222,3.298764469996727,47,14,207,4.5,2.3,3.298764469996727,0.41653454525870764,2.0019258864557963,3.75,0.10437550231189818,5.943527403266412,6.0,0.4145573416780488,-0.24742283329948656,310334.8150466975
breakout,223,2.8446736042262017,49,13,206,4.5,2.2,2.8446736042262017,0.35272015373260496,1.7624950887936244,8.9622130100534,0.11309847792321148,5.214860743012524,8.0,0.3510458286401139,-0.31093434633742145,298471.96683491254
breakout,224,3.641603660916206,47,15,208,4.4,2.4000000000000004,3.641603660916206,0.48654818602417743,2.2145494476175043,3.75,0.13077982253121745,6.668472434038317,4.0,0.48420650451172315,-0.17777367046581222,321244.49559360504
breakout,225,3.298764469996727,44,13,212,4.6,2.3,3.298764469996727,0.41653454525870764,2.0019258864557963,3.75,0.10437550231189818,5.943527403266412,6.0,0.4145573416780488,-0.24742283329948656,310334.8150466975
breakout,226,3.641603660916206,51,16,214,4.300000000000001,2.4000000000000004,3.641603660916206,0.48654818602417743,2.2145494476175043,3.75,0.13077982253121745,6.668472434038317,4.0,0.48420650451172315,-0.17777367046581222,321244.49559360504
breakout,227,3.7658078403310427,49,15,210,4.4,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,228,3.298764469996727,49,12,204,4.4,2.3,3.298764469996727,0.41653454525870764,2.0019258864557963,3.75,0.10437550231189818,5.943527403266412,6.0,0.4145573416780488,-0.24742283329948656,310334.8150466975
breakout,229,2.8446736042262017,46,14,209,4.300000000000001,2.2,2.8446736042262017,0.35272015373260496,1.7624950887936244,8.9622130100534,0.11309847792321148,5.214860743012524,8.0,0.3510458286401139,-0.31093434633742145,298471.96683491254
breakout,230,3.5236102681050943,53,15,212,4.5,2.4000000000000004,3.5236102681050943,0.469607047586786,2.143491640454557,3.75,0.13077982253121745,6.412817663217841,4.0,0.4673606473017054,-0.19461952767582996,318305.10341054254
breakout,231,3.7658078403310427,48,16,217,4.6,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,232,3.7658078403310427,48,15,218,4.6,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,233,3.7658078403310427,48,16,217,4.7,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,234,2.8446736042262017,48,14,217,4.7,2.2,2.8446736042262017,0.35272015373260496,1.7624950887936244,8.9622130100534,0.11309847792321148,5.214860743012524,8.0,0.3510458286401139,-0.31093434633742145,298471.96683491254
breakout,235,3.7658078403310427,50,15,215,4.6,2.3,3.7658078403310427,0.49693066898469235,2.258030419936311,3.75,0.10513614623715195,6.9549045740968545,4.0,0.4945333140266955,-0.16744686095083988,322985.47376251756
breakout,236,3.298764469996727,51,11,209,4.6,2.3,3.298764469996727,0.41653454525870764,2.0019258864557963,3.75,0.10437550231189818,5.943527403266412,6.0,0.4145573416780488,-0.24742283329948656,310334.8150466975
breakout,237,3.3142243076898317,49,16,214,4.6,2.2,3.3142243076898317,0.4248353707187547,2.0456193714548228,12.974523908721054,0.1130965138359602,6.059417082087534,6.0,0.4228136542902663,-0.23916652068726907,309901.1577849125
breakout,238,3.641603660916206,47,15,218,4.7,2.4000000000000004,3.641603660916206,0.48654818602417743,2.2145494476175043,3.75,0.13077982253121745,6.668472434038317,4.0,0.48420650451172315,-0.17777367046581222,321244.49559360504
breakout,239,3.298764469996727,50,13,211,4.5,2.3,3.298764469996727,0.41653454525870764,2.0019258864557963,3.75,0.10437550231189818,5.943527403266412,6.0,0.4145573416780488,-0.24742283329948656,310334.8150466975
