symbol,sample,rule,horizon_days,samples,days_on,coverage,avg_excess_on,hit_rate_on,avg_excess_off,hit_rate_off,edge_avg_excess,edge_hit_rate
EGAL,month_end,relative_breakout_63,126,125,6,0.048,0.10870504870310871,0.6666666666666666,0.9459049615890877,0.6134453781512605,-0.837199912885979,0.053221288515406084
EGCH,month_end,rel_mom_63_gt_0,21,131,55,0.4198473282442748,-0.010464405830036437,0.34545454545454546,0.031093978808192133,0.5131578947368421,-0.04155838463822857,-0.1677033492822967
EGCH,month_end,rel_mom_126_gt_0,21,131,54,0.4122137404580153,-0.04603021450577446,0.3333333333333333,0.055496514962109326,0.5194805194805194,-0.10152672946788378,-0.18614718614718612
EGCH,month_end,ratio_gt_sma50,21,131,56,0.42748091603053434,-0.052396068563539185,0.25,0.06295706544438388,0.5866666666666667,-0.11535313400792307,-0.33666666666666667
EGCH,month_end,ratio_gt_sma200,21,131,48,0.366412213740458,-0.05880470206356279,0.3125,0.055544888768935076,0.5180722891566265,-0.11434959083249786,-0.2055722891566265
EGCH,month_end,sma50_gt_sma200,21,131,54,0.4122137404580153,-0.01869557830047433,0.4074074074074074,0.0363267700908599,0.4675324675324675,-0.05502234839133423,-0.06012506012506014
EGCH,month_end,rel_mom_63_volume_1_1,21,131,24,0.183206106870229,-0.019854817170889588,0.4166666666666667,0.02115995963431727,0.4485981308411215,-0.04101477680520686,-0.031931464174454804
EGCH,month_end,residual_strength_63_gt_0,21,131,77,0.5877862595419847,0.012874843576732093,0.4025974025974026,0.014745131728930121,0.5,-0.001870288152198028,-0.09740259740259738
EGCH,month_end,relative_breakout_63,21,131,3,0.022900763358778626,-0.12905173119279634,0.0,0.01699027548710146,0.453125,-0.1460420066798978,-0.453125
EGCH,month_end,rel_mom_63_gt_0,63,128,54,0.421875,-0.067624442836908,0.35185185185185186,0.039780970001888155,0.527027027027027,-0.10740541283879615,-0.1751751751751751
EGCH,month_end,rel_mom_126_gt_0,63,128,53,0.4140625,-0.09146122162067934,0.2830188679245283,0.05519355483790266,0.5733333333333334,-0.146654776458582,-0.29031446540880507
EGCH,month_end,ratio_gt_sma50,63,128,54,0.421875,-0.053710987296762124,0.35185185185185186,0.029627907850970914,0.527027027027027,-0.08333889514773304,-0.1751751751751751
EGCH,month_end,ratio_gt_sma200,63,128,47,0.3671875,-0.07060947761910681,0.3404255319148936,0.03223107796351498,0.5185185185185185,-0.10284055558262178,-0.17809298660362488
EGCH,month_end,sma50_gt_sma200,63,128,54,0.421875,-0.05092267580493069,0.4074074074074074,0.027593194059634486,0.4864864864864865,-0.07851586986456519,-0.07907907907907913
EGCH,month_end,rel_mom_63_volume_1_1,63,128,23,0.1796875,-0.05736457326829411,0.391304347826087,0.005823400496356744,0.4666666666666667,-0.06318797376465085,-0.0753623188405797
EGCH,month_end,residual_strength_63_gt_0,63,128,75,0.5859375,-0.03247669360460967,0.4266666666666667,0.032600450703630546,0.49056603773584906,-0.06507714430824021,-0.06389937106918236
EGCH,month_end,relative_breakout_63,63,128,3,0.0234375,-0.04873424189373302,0.3333333333333333,-0.004493803258976858,0.456,-0.044240438634756164,-0.1226666666666667
EGCH,month_end,rel_mom_63_gt_0,126,125,52,0.416,-0.07703146270376832,0.40384615384615385,0.018281061110867487,0.4383561643835616,-0.0953125238146358,-0.034510010537407765
EGCH,month_end,rel_mom_126_gt_0,126,125,50,0.4,-0.08260309583609375,0.34,0.019453815897360817,0.48,-0.10205691173345458,-0.13999999999999996
EGCH,month_end,ratio_gt_sma50,126,125,53,0.424,-0.060632060500074234,0.39622641509433965,0.007533063986129292,0.4444444444444444,-0.06816512448620353,-0.048218029350104774
EGCH,month_end,ratio_gt_sma200,126,125,45,0.36,-0.07314037223821664,0.4,0.007752476890214038,0.4375,-0.08089284912843067,-0.03749999999999998
EGCH,month_end,sma50_gt_sma200,126,125,51,0.408,-0.032546582573586814,0.43137254901960786,-0.013665444435806738,0.4189189189189189,-0.018881138137780078,0.01245363010068895
EGCH,month_end,rel_mom_63_volume_1_1,126,125,23,0.184,-0.09225866275389287,0.43478260869565216,-0.0053840132957165745,0.4215686274509804,-0.0868746494581763,0.013213981244671769
EGCH,month_end,residual_strength_63_gt_0,126,125,73,0.584,-0.03974835682017483,0.4383561643835616,0.00443291246865648,0.40384615384615385,-0.04418126928883131,0.034510010537407765
EGCH,month_end,relative_breakout_63,126,125,3,0.024,-0.2526675309907093,0.6666666666666666,-0.015681278742053266,0.4180327868852459,-0.23698625224865605,0.2486338797814207
EMFD,month_end,rel_mom_63_gt_0,21,125,50,0.4,-0.027337900477227423,0.38,0.010211688437777016,0.48,-0.03754958891500444,-0.09999999999999998
EMFD,month_end,rel_mom_126_gt_0,21,125,52,0.416,-0.03170609623495723,0.38461538461538464,0.014352035797118919,0.4794520547945205,-0.04605813203207615,-0.09483667017913588
EMFD,month_end,ratio_gt_sma50,21,125,41,0.328,-0.027176527332699704,0.36585365853658536,0.006109752733483248,0.47619047619047616,-0.03328628006618295,-0.1103368176538908
EMFD,month_end,ratio_gt_sma200,21,125,40,0.32,-0.039591905771089245,0.35,0.01156068046841735,0.4823529411764706,-0.051152586239506595,-0.13235294117647062
EMFD,month_end,sma50_gt_sma200,21,125,49,0.392,-0.027375687721643623,0.3673469387755102,0.009741977728058456,0.4868421052631579,-0.037117665449702075,-0.11949516648764769
EMFD,month_end,rel_mom_63_volume_1_1,21,125,17,0.136,-0.031723271368843495,0.4117647058823529,-0.0005715072014606999,0.4444444444444444,-0.031151764167382794,-0.0326797385620915
EMFD,month_end,residual_strength_63_gt_0,21,125,60,0.48,-0.007018483587360791,0.38333333333333336,-0.0027678365505607325,0.49230769230769234,-0.004250647036800058,-0.10897435897435898
