strategy,period,start_date,end_date,twr,cagr,max_drawdown,sharpe,return_dd,money_multiple,closed_trades,excess_twr_vs_etf_dca,excess_cagr_vs_etf_dca,year
etf_dca,2020,2020-01-02,2020-12-30,-0.22538851528034032,-0.6640638093955684,0.38170732664056306,-1.3981975173549543,-1.7397198404338934,0.865151711321619,0.0,0.0,0.0,2020
rebound_max5_v1,2020,2020-01-02,2020-12-30,-0.14447934834033616,-0.486496012809316,0.19680204658559852,-3.0255283851078665,-2.472006878229876,8.999858424472569,20.0,0.08090916694000416,0.17756779658625244,2020
rebound_max5_v2,2020,2020-01-02,2020-12-30,0.0,0.0,0.0,0.0,0.0,10.606898046743286,0.0,0.22538851528034032,0.6640638093955684,2020
rebound_max5_v3,2020,2020-01-02,2020-12-30,-1.1102230246251565e-16,-4.440892098500626e-16,1.1102230246251565e-16,-2.0844250013389534,-4.0,9.945192220658372,0.0,0.2253885152803402,0.664063809395568,2020
etf_dca,2021,2021-01-04,2021-12-29,0.081236267901734,0.10678130966965327,0.18721576997524036,0.5768887736149096,0.5703649307094979,1.0694856328657727,0.0,0.0,0.0,2021
rebound_max5_v1,2021,2021-01-04,2021-12-29,0.17275712426825862,0.2299831312835634,0.1436951553423398,1.0878813505688798,1.6004932854949137,10.74589039637962,49.0,0.09152085636652463,0.12320182161391013,2021
rebound_max5_v2,2021,2021-01-04,2021-12-29,-0.07447414359325688,-0.09564327185696708,0.14810891116531988,-0.6852772746324132,-0.6457631151592871,9.942635876109183,23.0,-0.15571041149499087,-0.20242458152662035,2021
rebound_max5_v3,2021,2021-01-04,2021-12-29,-0.09046649823834219,-0.11588905790573911,0.14812245366349197,-0.8729183771610423,-0.7823868362930212,9.233462063355343,20.0,-0.17170276614007618,-0.22267036757539238,2021
etf_dca,2022,2022-01-02,2022-12-29,0.21726507126416061,0.23921724275115652,0.2787932434791939,1.0128644214549674,0.8580453377056432,1.309044594573182,0.0,0.0,0.0,2022
rebound_max5_v1,2022,2022-01-02,2022-12-29,0.05745387061281004,0.06283785894986127,0.19971315547913748,0.43715014583087647,0.3146405593517622,12.453007272401381,56.0,-0.15981120065135057,-0.17637938380129525,2022
rebound_max5_v2,2022,2022-01-02,2022-12-29,0.11244657291844362,0.12327568760138252,0.1444018166337636,0.950963621288953,0.8536990079151023,12.160009643612446,35.0,-0.10481849834571699,-0.115941555149774,2022
rebound_max5_v3,2022,2022-01-02,2022-12-29,0.02136672588763422,0.02333164861031145,0.14719462206071987,0.2500508056246031,0.1585088387311244,10.490929866290267,29.0,-0.1958983453765264,-0.21588559414084507,2022
etf_dca,2023,2023-01-02,2023-12-31,0.6911867258458764,0.7322355357979111,0.168866982684025,2.1260210590034228,4.336167580894316,1.495120689024591,0.0,0.0,0.0,2023
rebound_max5_v1,2023,2023-01-02,2023-12-31,0.2648506873628913,0.27848799618491715,0.17221937025944645,1.1931332407123947,1.617053852684389,17.03262315582548,73.0,-0.42633603848298507,-0.45374753961299397,2023
rebound_max5_v2,2023,2023-01-02,2023-12-31,0.26481234408754095,0.2784474705526081,0.17221265972606092,1.1929956496095124,1.6168815405065757,16.65959071884471,73.0,-0.4263743817583354,-0.453788065245303,2023
rebound_max5_v3,2023,2023-01-02,2023-12-31,0.3264887434938606,0.3437056607867306,0.16487278592770127,1.469675902790147,2.084671881128094,15.155322632713368,72.0,-0.3646979823520158,-0.3885298750111805,2023
etf_dca,2024,2024-01-02,2024-12-31,0.20254795210961296,0.21271438562909029,0.27494696081094594,0.7988801588541482,0.773656071708147,1.1146627235429092,0.0,0.0,0.0,2024
rebound_max5_v1,2024,2024-01-02,2024-12-31,0.3368901854753348,0.35472498965535215,0.3060394720671543,1.4921118837598855,1.1590824780194195,24.571544903320003,60.0,0.13434223336572182,0.14201060402626187,2024
rebound_max5_v2,2024,2024-01-02,2024-12-31,0.3278337785053158,0.3451303748518373,0.2484856402214255,1.5662184607223353,1.3889348879246772,23.86728308403581,51.0,0.12528582639570285,0.132415989222747,2024
rebound_max5_v3,2024,2024-01-02,2024-12-31,0.3691046261499622,0.3888778006023661,0.23747388970519956,1.780729587076677,1.6375602432971454,22.481454557473803,51.0,0.16655667404034924,0.1761634149732758,2024
etf_dca,2025,2025-01-02,2025-12-31,0.4250922021171457,0.4461059431131993,0.07559271633776188,2.3045641851489287,5.901440836176829,1.333281380032818,0.0,0.0,0.0,2025
rebound_max5_v1,2025,2025-01-02,2025-12-31,0.4388017855066495,0.46059541740636156,0.07803854182214476,2.6267544585880604,5.902153047094222,36.96172733292521,58.0,0.013709583389503788,0.014489474293162274,2025
rebound_max5_v2,2025,2025-01-02,2025-12-31,0.47929071092192843,0.5034207344231867,0.08916893764502343,2.992154321227845,5.645696222458953,36.60328841278418,44.0,0.05419850880478272,0.0573147913099874,2025
rebound_max5_v3,2025,2025-01-02,2025-12-31,0.5130711646071835,0.5391876126455608,0.09512617336441664,3.174708779313549,5.668131005123054,35.305669020784336,44.0,0.08797896249003778,0.09308166953236152,2025
etf_dca,2026,2026-01-04,2026-04-05,0.13119727154010885,0.6782670403714,0.13599696523015958,2.0033742789921765,4.987368940354729,1.084230605562643,0.0,0.0,0.0,2026
rebound_max5_v1,2026,2026-01-04,2026-04-05,0.08610560681105794,0.41469439799807906,0.042735569071230106,2.4506022969409984,9.703729399434962,119.87346117345712,14.0,-0.045091664729050907,-0.2635726423733209,2026
rebound_max5_v2,2026,2026-01-04,2026-04-05,0.08610521795345161,0.4146922706908387,0.04273470465791507,2.4506499431537234,9.703875901574339,118.7209596539808,14.0,-0.045092053586657244,-0.26357476968056126,2026
rebound_max5_v3,2026,2026-01-04,2026-04-05,0.10556173438421523,0.5242232916725551,0.03625043717454657,2.813150417126177,14.461157782688513,115.82797311501105,13.0,-0.025635537155893617,-0.15404374869884485,2026
