date,strategy_equity,equal_weight_equity,etf_dca_equity,etf_buy_hold_norm
2021-04-01,1005637.5999999999,1037256.7349283502,808867.2318019001,1.0716332378223496
2021-04-04,1008088.1499999998,1051821.30492835,808867.2318019001,1.0716332378223496
2021-04-05,1000358.7999999998,1026325.97492835,797332.6718019001,1.0563514804202483
2021-04-06,1006067.0999999997,1042884.32492835,785077.2018019,1.0401146131805157
2021-04-07,1001699.0199999999,1045889.3449283501,785798.1118019001,1.0410697230181472
2021-04-08,1003979.2999999997,1057504.54492835,782914.4718019001,1.0372492836676217
2021-04-11,1012321.6499999997,1066594.2549283502,788681.7518019,1.0448901623686724
2021-04-13,999260.5099999999,1038957.72492835,800216.3118019,1.0601719197707735
2021-04-14,974107.3299999998,1002133.4549283502,788681.7518019,1.0448901623686724
2021-04-15,975695.2099999997,1002127.1549283501,777147.1918019,1.029608404966571
2021-04-18,984956.4199999998,1006542.8449283502,776426.2818019,1.0286532951289398
2021-04-19,996597.0499999998,1029661.8949283499,792286.3018019,1.049665711556829
2021-04-21,999950.6199999998,1052091.70492835,810309.0518019,1.0735434574976122
2021-04-25,1005905.6499999998,1056132.05492835,810309.0518019,1.0735434574976122
2021-04-26,991400.4799999999,1061846.5549283498,810309.0518019,1.0735434574976122
2021-05-05,995134.5599999998,1071627.6778484597,813646.1495289801,1.0649474689589302
2021-05-06,996607.1899999998,1069076.19784846,817294.74952898,1.0697230181470867
2021-05-10,1000432.32,1071655.18784846,827510.8295289801,1.0830945558739253
2021-05-17,1027285.0099999998,1093986.11784846,837726.9095289801,1.096466093600764
2021-05-19,1052496.2999999998,1163436.9078484601,838456.6295289801,1.0974212034383954
2021-05-20,1044838.3899999999,1150042.6678484601,839916.0695289801,1.099331423113658
2021-05-23,1061370.98,1176193.5678484598,836267.4695289802,1.0945558739255015
2021-05-24,1054700.18,1162808.0878484598,842105.22952898,1.102196752626552
2021-05-25,1036346.0899999999,1117819.05784846,838456.6295289801,1.0974212034383954
2021-05-26,1037750.5699999998,1124936.69784846,820213.6295289801,1.0735434574976122
2021-05-27,1039686.8999999999,1122424.81784846,807808.3895289801,1.0573065902578795
2021-05-30,1031656.5299999998,1112780.7378484602,797592.30952898,1.043935052531041
2021-05-31,1026156.5199999999,1104121.4278484602,801970.6295289801,1.049665711556829
2021-06-01,1036285.7099999997,1121892.5309426303,812410.4948010801,1.0506208213944603
2021-06-02,1023119.4899999999,1121589.44094263,806502.0948010801,1.0429799426934097
2021-06-03,1011915.0599999998,1105723.36094263,796900.94480108,1.0305635148042023
2021-06-07,1040427.3699999998,1135856.1709426302,797639.4948010801,1.0315186246418337
2021-06-08,1017482.7699999997,1119256.9909426298,796900.94480108,1.0305635148042023
2021-06-10,1026330.6599999998,1128784.62094263,790992.5448010801,1.0229226361031518
2021-06-13,1016489.5899999997,1118400.34094263,786561.2448010801,1.0171919770773639
2021-06-14,1016274.4199999998,1112499.9109426301,779175.7448010801,1.0076408787010507
2021-06-16,1009631.8099999998,1096991.8209426298,779175.7448010801,1.0076408787010507
2021-06-17,1021901.0599999999,1100617.14094263,778437.19480108,1.0066857688634192
2021-06-20,1018544.7599999998,1097157.8509426303,777698.64480108,1.0057306590257877
2021-06-21,1031205.9299999998,1112169.7309426297,772528.7948010801,0.9990448901623687
2021-06-22,1040407.2599999999,1116929.93094263,793208.1948010802,1.0257879656160458
2021-06-23,1054150.7999999996,1122419.25094263,804286.4448010802,1.0401146131805157
2021-06-24,1060198.3599999999,1130423.2509426298,809456.2948010801,1.046800382043935
2021-06-27,1062292.23,1133671.23094263,810194.8448010802,1.0477554918815664
2021-06-28,1053432.69,1131450.2709426302,811671.9448010802,1.049665711556829
2021-06-29,1049725.5699999996,1114428.54094263,809456.2948010801,1.046800382043935
2021-06-30,1068822.42,1122621.83094263,797639.4948010801,1.0315186246418337
2021-07-04,1094628.7699999998,1138915.07037936,817766.2866968301,1.0448901623686724
2021-07-05,1099644.3199999998,1128878.1903793605,825241.28669683,1.0544412607449856
2021-07-07,1082282.7799999998,1107554.94037936,809543.7866968301,1.0343839541547277
2021-07-08,1068621.8499999999,1096347.8803793597,819261.2866968302,1.046800382043935
2021-07-11,1054584.21,1086681.79037936,812533.78669683,1.038204393505253
2021-07-12,1053790.4399999997,1084700.1903793602,809543.7866968301,1.0343839541547277
2021-07-13,1065448.0999999999,1101772.9903793598,816271.2866968301,1.0429799426934097
2021-07-14,1079846.7099999995,1112422.06037936,831968.7866968302,1.0630372492836677
2021-07-15,1103645.19,1119266.0003793598,845423.7866968301,1.0802292263610316
2021-07-18,1139077.1399999997,1142614.4703793598,822251.2866968301,1.0506208213944603
2021-07-25,1173710.6699999997,1166241.79037936,849161.2866968301,1.085004775549188
2021-07-26,1168038.8299999998,1163728.61037936,856636.2866968302,1.0945558739255015
2021-07-28,1201982.7099999997,1176793.6603793602,858131.2866968301,1.096466093600764
2021-07-29,1216653.0899999999,1181188.27037936,858131.2866968301,1.096466093600764
2021-08-01,1246568.3799999997,1208694.0398470801,865996.16023023,1.09360076408787
2021-08-02,1259711.6799999997,1216115.5998470802,870534.08023023,1.099331423113658
2021-08-03,1234472.0899999999,1189971.9198470798,871290.4002302301,1.1002865329512892
2021-08-05,1254518.6799999995,1200145.44984708,862970.88023023,1.0897803247373448
2021-08-08,1268265.9899999998,1207341.9898470799,863727.20023023,1.090735434574976
2021-08-09,1270126.7299999995,1204996.25984708,864483.5202302301,1.0916905444126073
2021-08-10,1292924.0599999996,1210804.9798470798,869777.76023023,1.0983763132760267
2021-08-15,1280855.9599999997,1205505.2798470801,875828.3202302301,1.1060171919770774
2021-08-16,1274610.5699999996,1204840.0098470799,887929.4402302301,1.1212989493791785
2021-08-17,1278751.1099999996,1202910.7398470799,888685.76023023,1.1222540592168098
2021-08-18,1271685.1199999999,1204515.8298470802,880366.2402302301,1.1117478510028653
2021-08-19,1244704.7499999998,1184199.03984708,822885.9202302301,1.0391595033428844
2021-08-23,1253743.9199999997,1191495.0598470797,859945.60023023,1.0859598853868193
2021-08-24,1257177.3299999998,1190091.6998470803,875072.00023023,1.105062082139446
2021-08-25,1269594.5599999998,1197658.07984708,881122.5602302301,1.1127029608404966
2021-08-26,1257686.5899999999,1198837.0798470797,890198.4002302301,1.1241642788920725
2021-08-29,1270589.2899999996,1215035.13984708,894736.3202302301,1.1298949379178604
2021-08-30,1281240.97,1225869.24984708,893980.00023023,1.1289398280802292
2021-08-31,1269424.2199999997,1217490.77984708,897761.60023023,1.1337153772683857
2021-09-01,1310353.2799999996,1244039.85326537,906257.8016257801,1.1318051575931232
2021-09-02,1325371.2499999998,1251661.6932653699,917729.3516257801,1.146131805157593
2021-09-05,1275711.0399999998,1206354.18326537,919258.89162578,1.1480420248328556
2021-09-06,1261206.4599999997,1177929.56326537,902433.9516257802,1.1270296084049665
2021-09-07,1281915.8699999996,1197669.1332653698,899374.8716257801,1.1232091690544412
2021-09-09,1289624.1099999996,1175872.5232653702,904728.2616257801,1.1298949379178604
2021-09-12,1302341.2999999996,1194778.1632653703,898610.1016257801,1.1222540592168098
2021-09-14,1315471.0299999998,1211526.89326537,905493.03162578,1.1308500477554917
2021-09-15,1312733.7199999997,1196281.61326537,909316.8816257801,1.1356255969436484
2021-09-16,1305773.4699999995,1192235.66326537,906257.8016257801,1.1318051575931232
2021-09-19,1225458.4699999995,1152624.92326537,894021.4816257801,1.1165234001910218
2021-09-20,1197823.38,1127752.57326537,885609.0116257801,1.1060171919770774
2021-09-21,1158998.1099999999,1088256.4932653704,870313.6116257801,1.0869149952244508
2021-09-22,1184475.4899999998,1114099.9432653703,852723.9016257802,1.0649474689589302
2021-09-23,1203327.4599999995,1142054.66326537,861136.3716257801,1.0754536771728749
2021-09-26,1208253.64,1145767.51326537,864960.2216257801,1.0802292263610316
2021-09-27,1179916.3799999997,1123834.0732653702,864960.2216257801,1.0802292263610316
2021-09-28,1169914.0899999996,1119613.7232653701,852723.9016257802,1.0649474689589302
2021-10-03,1193613.7199999995,1143787.9052601098,863296.7100241301,1.0659025787965615
2021-10-04,1190432.2599999995,1143476.5452601102,850919.7500241301,1.0506208213944603
2021-10-05,1187873.3099999996,1160617.8152601102,856334.6700241301,1.0573065902578795
2021-10-06,1187246.2299999997,1160758.8752601102,857108.2300241301,1.058261700095511
2021-10-10,1181603.4199999997,1159703.90526011,864843.8300241301,1.0678127984718242
2021-10-11,1191045.9499999997,1167445.1352601103,874900.1100241301,1.0802292263610316
2021-10-12,1195481.2199999995,1164194.45526011,879541.4700241301,1.0859598853868193
2021-10-13,1205745.8399999996,1168458.58526011,884956.3900241301,1.0926456542502387
2021-10-17,1205088.9099999997,1186071.87526011,901974.7100241301,1.1136580706781278
2021-10-18,1225209.4899999998,1198566.1752601103,915125.2300241301,1.1298949379178604
2021-10-19,1229030.0799999998,1169730.1052601105,927502.1900241302,1.1451766953199618
2021-10-20,1219907.8099999996,1166094.0152601101,921313.7100241301,1.1375358166189111
2021-10-24,1213806.1399999994,1168493.54526011,915898.7900241301,1.1308500477554917
2021-10-25,1206809.8599999996,1150115.3752601102,919766.5900241302,1.1356255969436484
2021-10-26,1208410.3799999997,1152681.3852601098,919766.5900241302,1.1356255969436484
2021-10-27,1194283.6199999996,1144273.9452601103,925955.0700241302,1.143266475644699
2021-10-28,1199168.2399999995,1160712.4252601103,934464.2300241301,1.1537726838586437
2021-10-31,1191548.6399999994,1173352.4952601097,946067.6300241301,1.1680993314231136
2021-11-01,1208813.5399999993,1209117.5296968203,949341.9783264402,1.1595033428844317
2021-11-02,1216183.2199999993,1219874.0096968203,961853.8183264402,1.174785100286533
2021-11-03,1215046.479999999,1202857.8196968199,970455.7083264401,1.1852913085004775
2021-11-04,1211376.1799999992,1199923.2796968198,971237.6983264401,1.1862464183381087
2021-11-07,1206924.9599999993,1202426.1996968202,964981.7783264401,1.1786055396370583
2021-11-08,1195530.459999999,1202677.58969682,960289.8383264401,1.17287488061127
2021-11-09,1194322.5599999994,1189843.8796968197,955597.8983264401,1.1671442215854824
2021-11-10,1189856.1999999993,1172698.5496968203,962635.8083264402,1.1757402101241643
2021-11-11,1198351.6399999992,1195060.29969682,954033.91832644,1.1652340019102196
2021-11-14,1191082.519999999,1192069.87969682,961853.8183264402,1.174785100286533
2021-11-15,1185207.3399999994,1171153.93969682,968891.7283264402,1.183381088825215
2021-11-16,1174090.6399999994,1151917.1196968202,954815.9083264401,1.1661891117478511
2021-11-17,1176069.7199999993,1149147.65969682,948559.9883264402,1.1585482330468004
2021-11-18,1174150.8399999994,1152143.9796968203,951687.9483264401,1.1623686723973257
2021-11-21,1164289.5999999992,1122877.32969682,941522.0783264401,1.1499522445081183
2021-11-22,1176563.7399999993,1134376.6596968202,936048.1483264401,1.143266475644699
2021-11-23,1176321.0999999992,1151714.0996968201,941522.0783264401,1.1499522445081183
2021-11-25,1178843.0599999991,1173060.71969682,940740.0883264401,1.148997134670487
2021-11-28,1163749.4199999992,1149770.1796968202,946996.00832644,1.1566380133715377
2021-11-29,1160614.8399999994,1144174.6496968202,934484.16832644,1.1413562559694364
2021-11-30,1163647.1999999993,1162060.9496968202,936048.1483264401,1.143266475644699
2021-12-01,1171545.8499999994,1180944.00601728,961229.0989756901,1.1614135625596944
2021-12-02,1168689.3499999994,1175953.2160172802,963600.53897569,1.1642788920725882
2021-12-05,1173829.7499999995,1187438.86601728,954905.25897569,1.1537726838586437
2021-12-06,1180419.7999999993,1195946.40601728,962019.5789756901,1.1623686723973257
2021-12-08,1178557.2499999993,1169531.70601728,973086.29897569,1.1757402101241643
2021-12-12,1191748.3499999994,1194887.1260172797,973086.29897569,1.1757402101241643
2021-12-13,1189845.7499999993,1194084.0560172799,987314.93897569,1.1929321872015282
2021-12-14,1187879.8499999992,1190870.57601728,986524.4589756901,1.191977077363897
2021-12-15,1189081.1999999993,1196143.2460172803,980200.6189756901,1.1843361986628462
2021-12-16,1191541.9499999993,1217615.9260172797,980200.6189756901,1.1843361986628462
2021-12-21,1182746.6999999993,1201555.7260172802,968343.41897569,1.1700095510983763
2021-12-23,1189365.4499999993,1229039.83601728,980991.0989756901,1.1852913085004775
2021-12-26,1197416.4499999993,1231219.7660172798,991267.33897569,1.1977077363896846
2021-12-27,1196219.5999999992,1225952.6960172802,999172.1389756901,1.207258834765998
2021-12-28,1191898.7499999993,1227555.43601728,999172.1389756901,1.207258834765998
2021-12-29,1193785.5499999993,1228094.8060172803,1003915.01897569,1.212989493791786
2022-01-02,1201406.1199999994,1247891.23247778,1017284.2878782401,1.2168099331423112
2022-01-03,1199139.5299999993,1249462.75247778,1013291.83787824,1.2120343839541545
2022-01-04,1206904.3699999992,1273276.5924777803,1012493.34787824,1.2110792741165233
2022-01-05,1212421.7799999993,1287053.6624777804,1019679.7578782401,1.2196752626552052
2022-01-09,1196193.3099999996,1293512.4624777802,1024470.6978782401,1.2254059216809932
2022-01-10,1194947.6399999992,1308126.1324777799,1018881.2678782401,1.218720152817574
2022-01-11,1189774.2499999993,1296040.2224777802,1022075.2278782402,1.2225405921680994
2022-01-12,1190252.2499999993,1295770.83247778,1020478.2478782401,1.2206303724928365
2022-01-13,1173861.2599999993,1276960.8624777799,1025269.1878782401,1.2263610315186246
2022-01-16,1154485.2899999993,1250604.5624777803,1021276.7378782401,1.221585482330468
2022-01-18,1171129.5499999993,1272086.9924777802,1008500.8978782402,1.2063037249283668
2022-01-19,1159999.5699999994,1259732.0524777803,1010097.8778782401,1.2082139446036293
2022-01-20,1160015.8099999994,1251472.16247778,996523.5478782401,1.191977077363897
2022-01-23,1143412.2699999993,1230906.7124777802,997322.0378782401,1.1929321872015282
2022-01-24,1144327.919999999,1217361.42247778,990934.1178782401,1.1852913085004775
2022-01-25,1147869.1999999995,1217185.0124777802,987740.15787824,1.181470869149952
2022-01-26,1139702.4699999993,1211148.2024777797,981352.2378782401,1.1738299904489016
2022-01-30,1130081.9299999992,1196762.7524777802,978158.2778782401,1.1700095510983763
2022-01-31,1152929.1999999993,1221446.5324777798,974165.82787824,1.1652340019102196
2022-02-01,1168585.5099999993,1244006.4323737,986846.5922789901,1.1690544412607449
2022-02-02,1180538.8399999992,1252145.9923737,994908.9922789901,1.1786055396370583
2022-02-03,1181927.5599999994,1247368.1723737002,1002165.15227899,1.1872015281757402
2022-02-06,1181904.9399999992,1256278.5523737,998133.9522789902,1.1824259789875835
2022-02-07,1181870.1999999993,1244981.7323737002,1002165.15227899,1.1872015281757402
2022-02-08,1186997.1499999994,1246997.1023737001,990071.55227899,1.17287488061127
2022-02-09,1213556.4499999995,1256930.6423737004,988459.0722789901,1.1709646609360076
2022-02-10,1214751.8499999994,1249754.7823737003,994102.7522789901,1.1776504297994268
2022-02-13,1214420.5699999991,1217327.9723737005,992490.2722789901,1.1757402101241643
2022-02-14,1213323.8699999992,1209017.2923737003,980396.67227899,1.1614135625596944
2022-02-15,1219869.8399999992,1220872.3023737,977977.9522789902,1.1585482330468004
2022-02-16,1223617.6399999994,1225062.3323737003,990877.79227899,1.1738299904489016
2022-02-17,1224446.549999999,1225757.1423737004,990877.79227899,1.1738299904489016
2022-02-20,1208999.8899999994,1198620.5023737,988459.0722789901,1.1709646609360076
2022-02-21,1211235.9499999993,1201831.1023737001,973946.7522789901,1.1537726838586437
2022-02-22,1203051.4799999993,1201523.5523737,985234.1122789901,1.1671442215854824
2022-02-23,1211792.4199999992,1207112.9923737,968303.0722789901,1.1470869149952243
2022-02-24,1195495.2499999993,1141060.1323736997,968303.0722789901,1.1470869149952243
2022-02-27,1211627.4099999992,1175166.3623737,933634.7522789901,1.1060171919770774
2022-02-28,1209272.8399999994,1170841.7423737003,957821.9522789902,1.1346704871060171
2022-03-01,1232027.6799999992,1204066.1515173,963759.34015213,1.1308500477554917
2022-03-03,1252352.0699999994,1210527.8915173,967829.2401521301,1.1356255969436484
2022-03-06,1237831.759999999,1196501.0115172998,977597.00015213,1.1470869149952243
