date,symbol,holding_name,action,shares,price,value,fee,fixed_fee,bps_fee
2015-02-01,OIH,Orascom Investment Holding,BUY,1004.0,4.962479999999999,4982.329919999999,14.96465984,5.0,9.96465984
2015-02-01,ORHD,Orascom Development Egypt,BUY,1671.0,2.98149,4982.06979,14.96413958,5.0,9.96413958
2015-02-01,ORWE,Oriental Weavers,BUY,535.0,9.314655,4983.340425,14.966680850000001,5.0,9.966680850000001
2015-02-01,PHDC,Palm Hills Development Company,BUY,1218.0,4.092045,4984.110809999999,14.968221619999998,5.0,9.968221619999998
2015-02-01,RAYA,Raya Holding For Financial Investments,BUY,45295.0,0.110055,4984.941225,14.96988245,5.0,9.96988245
2015-02-01,TMGH,T M G Holding,BUY,433.0,11.495745,4977.657585,14.95531517,5.0,9.95531517
2015-02-01,VLMR,Egyptian Kuwaiti Holding,BUY,4488.0,1.110555,4984.17084,14.96834168,5.0,9.96834168
2015-03-01,ADIB,Abu Dhabi Islamic Bank- Egypt,BUY,86.0,5.472734999999999,470.65520999999995,5.94131042,5.0,0.94131042
2015-03-01,AMOC,Alexandria Mineral Oils Company,BUY,125.0,3.7618799999999997,470.23499999999996,5.9404699999999995,5.0,0.9404699999999999
2015-03-01,ARCC,Arabian Cement Company,BUY,27.0,17.478734999999997,471.9258449999999,5.94385169,5.0,0.9438516899999999
2015-03-01,BFTH,Beltone Holding,BUY,255.0,1.850925,471.98587499999996,5.94397175,5.0,0.94397175
2015-03-01,CCAP,QALA For Financial Investments,BUY,167.0,2.831415,472.846305,5.94569261,5.0,0.9456926099999999
2015-03-01,COMI,Commercial International Bank-Egypt (CIB),BUY,26.0,17.62881,458.34906,5.91669812,5.0,0.9166981200000001
2015-03-01,EAST,Eastern Company,BUY,123.0,3.8219099999999995,470.0949299999999,5.94018986,5.0,0.9401898599999998
2015-03-01,EGCH,Egyptian Chemical Industries (KIMA),BUY,117.0,4.04202,472.91634,5.94583268,5.0,0.94583268
2015-03-01,ETEL,Telecom Egypt,BUY,40.0,11.675835,467.0334,5.9340668,5.0,0.9340668
2015-03-01,GBCO,GB Corp,BUY,13.0,34.887434999999996,453.53665499999994,5.9070733099999995,5.0,0.9070733099999999
2015-03-01,HELI,Heliopolis Housing,BUY,88.0,5.32266,468.39408,5.93678816,5.0,0.93678816
2015-03-01,HRHO,EFG Holding,BUY,76.0,6.1730849999999995,469.15446,5.93830892,5.0,0.93830892
2015-03-01,JUFO,Juhayna Food Industries,BUY,47.0,9.924959999999999,466.47311999999994,5.93294624,5.0,0.9329462399999999
2015-03-01,MCQE,Misr Cement - Qena,BUY,16.0,28.45422,455.26752,5.91053504,5.0,0.91053504
2015-03-01,OIH,Orascom Investment Holding,BUY,101.0,4.66233,470.89533,5.94179066,5.0,0.94179066
2015-03-01,ORHD,Orascom Development Egypt,BUY,169.0,2.8013999999999997,473.43659999999994,5.9468732,5.0,0.9468731999999999
2015-03-01,ORWE,Oriental Weavers,BUY,59.0,7.98399,471.05541,5.94211082,5.0,0.94211082
2015-03-01,PHDC,Palm Hills Development Company,BUY,131.0,3.6018,471.8358,5.9436716,5.0,0.9436716
2015-03-01,RAYA,Raya Holding For Financial Investments,BUY,3945.0,0.12005999999999999,473.63669999999996,5.9472734,5.0,0.9472733999999999
2015-03-01,TMGH,T M G Holding,BUY,44.0,10.635315,467.95386,5.93590772,5.0,0.9359077200000001
2015-03-01,VLMR,Egyptian Kuwaiti Holding,BUY,450.0,1.050525,472.73625,5.9454725,5.0,0.9454724999999999
2015-04-01,ABUK,Abou Kir Fertilizers,BUY,38.0,10.675334999999999,405.66272999999995,5.81132546,5.0,0.8113254599999999
2015-04-01,ADIB,Abu Dhabi Islamic Bank- Egypt,BUY,76.0,5.432714999999999,412.8863399999999,5.82577268,5.0,0.8257726799999998
2015-04-01,AMOC,Alexandria Mineral Oils Company,BUY,124.0,3.331665,413.12646,5.82625292,5.0,0.8262529200000001
2015-04-01,ARCC,Arabian Cement Company,BUY,24.0,17.008499999999998,408.20399999999995,5.816408,5.0,0.8164079999999999
2015-04-01,BFTH,Beltone Holding,BUY,254.0,1.630815,414.22700999999995,5.82845402,5.0,0.8284540199999999
2015-04-01,CCAP,QALA For Financial Investments,BUY,162.0,2.56128,414.92736,5.82985472,5.0,0.82985472
