rebalance_date,feature,training_months,training_rows,monthly_ic_count,raw_ic_mean,weight,warmup_complete
2023-07-04,vol_adj_rel_mom_63,95,2347,92,-0.06031537746608719,-0.06888456589135304,True
2023-07-04,volume_ratio_20_63,95,2347,92,0.06241591372816534,0.07128353170456798,True
2023-07-04,mom63_volume_score,95,2347,92,-0.046644644080261324,-0.05327158999265255,True
2023-07-04,down_day_excess_63,95,2347,94,-0.07176085363637183,-0.08195613553962684,True
2023-07-04,residual_strength_21_126b,95,2347,91,0.025187420816063094,0.028765874006390278,True
2023-07-04,residual_strength_63_126b,95,2347,88,-0.050457046669229295,-0.05762563216857671,True
2023-07-04,residual_strength_126_126b,95,2347,82,-0.09521762121512481,-0.10874547715960203,True
2023-08-01,rel_mom_21,96,2373,95,0.025791766813771714,0.02961077366882319,True
2023-08-01,rel_mom_63,96,2373,93,-0.056831610574116634,-0.0652467110956628,True
2023-08-01,rel_mom_126,96,2373,89,-0.12379344550750132,-0.14212363670445147,True
2023-08-01,ratio_vs_sma50,96,2373,94,0.0018782333662285325,0.002156344833070079,True
2023-08-01,ratio_vs_sma200,96,2373,82,-0.11968869455493958,-0.13741109210443234,True
2023-08-01,sma50_vs_sma200,96,2373,82,-0.1276832689628747,-0.14658942932658542,True
2023-08-01,vol_adj_rel_mom_63,96,2373,93,-0.06230261217213147,-0.07152780813063156,True
2023-08-01,volume_ratio_20_63,96,2373,93,0.060932349542318874,0.06995464965369612,True
2023-08-01,mom63_volume_score,96,2373,93,-0.04941117074532974,-0.05672752100372982,True
2023-08-01,down_day_excess_63,96,2373,95,-0.07354978572135108,-0.08444035936392237,True
2023-08-01,residual_strength_21_126b,96,2373,92,0.02039859433562094,0.023419029971676476,True
2023-08-01,residual_strength_63_126b,96,2373,89,-0.053059229089252355,-0.06091575016742075,True
2023-08-01,residual_strength_126_126b,96,2373,83,-0.09570567994417746,-0.10987689397589763,True
2023-09-03,rel_mom_21,97,2399,96,0.0266306524336781,0.030271886100866563,True
2023-09-03,rel_mom_63,97,2399,94,-0.05879839558619414,-0.06683795444110069,True
2023-09-03,rel_mom_126,97,2399,90,-0.12493648129815872,-0.14201916160784595,True
2023-09-03,ratio_vs_sma50,97,2399,95,0.0011351156600792984,0.0012903210711343641,True
2023-09-03,ratio_vs_sma200,97,2399,83,-0.12000549228298737,-0.13641395391706032,True
2023-09-03,sma50_vs_sma200,97,2399,83,-0.1280932223694594,-0.14560752679710778,True
2023-09-03,vol_adj_rel_mom_63,97,2399,94,-0.06302552491770891,-0.07164306306455373,True
2023-09-03,volume_ratio_20_63,97,2399,94,0.05766911214493286,0.06555426303344206,True
2023-09-03,mom63_volume_score,97,2399,94,-0.051304141560277586,-0.05831900415069757,True
2023-09-03,down_day_excess_63,97,2399,96,-0.07544389853034343,-0.08575941235400138,True
2023-09-03,residual_strength_21_126b,97,2399,93,0.021418111334309695,0.024346629449752195,True
2023-09-03,residual_strength_63_126b,97,2399,90,-0.05459313888949523,-0.06205770911799376,True
2023-09-03,residual_strength_126_126b,97,2399,84,-0.09666237870756078,-0.10987911489444356,True
2023-10-01,rel_mom_21,98,2425,97,0.028058462255271165,0.03280007859533187,True
2023-10-01,rel_mom_63,98,2425,95,-0.05737694598803088,-0.06707311045222983,True
2023-10-01,rel_mom_126,98,2425,91,-0.12033635278196782,-0.14067206510515812,True
2023-10-01,ratio_vs_sma50,98,2425,96,0.004168163333491927,0.004872543751432126,True
2023-10-01,ratio_vs_sma200,98,2425,84,-0.11446208135532056,-0.13380509703216098,True
2023-10-01,sma50_vs_sma200,98,2425,84,-0.12325124973848392,-0.144079552244018,True
2023-10-01,vol_adj_rel_mom_63,98,2425,95,-0.060962188308138786,-0.0712642250191287,True
2023-10-01,volume_ratio_20_63,98,2425,95,0.05330858257939465,0.06231723187472255,True
2023-10-01,mom63_volume_score,98,2425,95,-0.05003355365541457,-0.05848875385154253,True
2023-10-01,down_day_excess_63,98,2425,97,-0.07557193305954862,-0.08834287928550624,True
2023-10-01,residual_strength_21_126b,98,2425,94,0.022968764268832858,0.026850269498066875,True
2023-10-01,residual_strength_63_126b,98,2425,91,-0.05354613999308582,-0.06259493425802085,True
2023-10-01,residual_strength_126_126b,98,2425,85,-0.09139445529792935,-0.10683925903268132,True
2023-11-01,rel_mom_21,100,2476,99,0.025752869561864154,0.030681394368573308,True
2023-11-01,rel_mom_63,100,2476,97,-0.05910342361943459,-0.07041450057612374,True
2023-11-01,rel_mom_126,100,2476,93,-0.11605653414848004,-0.13826716609989928,True
2023-11-01,ratio_vs_sma50,100,2476,98,0.0010340842980796547,0.0012319849670932978,True
2023-11-01,ratio_vs_sma200,100,2476,86,-0.11118200512423877,-0.1324597609486196,True
2023-11-01,sma50_vs_sma200,100,2476,86,-0.11607665299441661,-0.13829113524418968,True
2023-11-01,vol_adj_rel_mom_63,100,2476,97,-0.06258214142611354,-0.07455896737689331,True
2023-11-01,volume_ratio_20_63,100,2476,97,0.05665476212617602,0.06749721989137011,True
2023-11-01,mom63_volume_score,100,2476,97,-0.050955410069603725,-0.06070713897735891,True
2023-11-01,down_day_excess_63,100,2476,99,-0.0767681833974633,-0.09145990135656316,True
2023-11-01,residual_strength_21_126b,100,2476,96,0.020827142933460094,0.02481299353367589,True
2023-11-01,residual_strength_63_126b,100,2476,93,-0.054398102426834356,-0.06480868586121694,True
2023-11-01,residual_strength_126_126b,100,2476,87,-0.08797306787876091,-0.10480915079842279,True
2023-12-03,rel_mom_21,101,2500,100,0.02746055825754986,0.033440573126668816,True
2023-12-03,rel_mom_63,101,2500,98,-0.056193317699626696,-0.06843039140502032,True
2023-12-03,rel_mom_126,101,2500,94,-0.1130457569581863,-0.13766343956902333,True
2023-12-03,ratio_vs_sma50,101,2500,99,0.0024992648255913663,0.003043523273607196,True
2023-12-03,ratio_vs_sma200,101,2500,87,-0.10907446583495467,-0.132827330631682,True
2023-12-03,sma50_vs_sma200,101,2500,87,-0.11528216872711447,-0.14038686895449926,True
2023-12-03,vol_adj_rel_mom_63,101,2500,98,-0.05915739020481779,-0.07203994232648928,True
2023-12-03,volume_ratio_20_63,101,2500,98,0.05502075168744396,0.06700247871990721,True
2023-12-03,mom63_volume_score,101,2500,98,-0.04827041697661309,-0.05878214104833171,True
2023-12-03,down_day_excess_63,101,2500,100,-0.07437441460696693,-0.09057073884263321,True
2023-12-03,residual_strength_21_126b,101,2500,97,0.022423277273455798,0.027306336468830184,True
2023-12-03,residual_strength_63_126b,101,2500,94,-0.052061767387140925,-0.06339912404856712,True
2023-12-03,residual_strength_126_126b,101,2500,88,-0.08631131858962479,-0.1051071115847404,True
2024-01-02,rel_mom_21,102,2525,101,0.027869157650940123,0.03468218525972843,True
2024-01-02,rel_mom_63,102,2525,99,-0.053845363171327376,-0.06700865825495583,True
2024-01-02,rel_mom_126,102,2525,95,-0.1105989806395629,-0.13763653656568423,True
2024-01-02,ratio_vs_sma50,102,2525,100,0.004109723682352176,0.005114406395157886,True
2024-01-02,ratio_vs_sma200,102,2525,88,-0.10609851321696094,-0.1320358633461695,True
2024-01-02,sma50_vs_sma200,102,2525,88,-0.11283996104813122,-0.14042535776605397,True
2024-01-02,vol_adj_rel_mom_63,102,2525,99,-0.05701833883252495,-0.0709573147261912,True
2024-01-02,volume_ratio_20_63,102,2525,99,0.05505550710940452,0.06851463976961109,True
2024-01-02,mom63_volume_score,102,2525,99,-0.04599134347652839,-0.05723460733098091,True
2024-01-02,down_day_excess_63,102,2525,101,-0.07227639977311537,-0.08994543424073749,True
2024-01-02,residual_strength_21_126b,102,2525,98,0.022750061796533973,0.028311650742377032,True
2024-01-02,residual_strength_63_126b,102,2525,95,-0.05004112072462535,-0.062274412499774515,True
2024-01-02,residual_strength_126_126b,102,2525,89,-0.085063823784533,-0.10585893310257789,True
2024-02-01,rel_mom_21,103,2549,102,0.02826941740116535,0.036296916002399496,True
2024-02-01,rel_mom_63,103,2549,100,-0.05096777910483149,-0.06544079670070099,True
2024-02-01,rel_mom_126,103,2549,96,-0.10779835719992976,-0.13840921660880115,True
2024-02-01,ratio_vs_sma50,103,2549,101,0.00564458220809729,0.0072474407013248246,True
2024-02-01,ratio_vs_sma200,103,2549,89,-0.10229769943875375,-0.13134656972499512,True
2024-02-01,sma50_vs_sma200,103,2549,89,-0.1094812316372338,-0.1405699669074929,True
2024-02-01,vol_adj_rel_mom_63,103,2549,100,-0.053595981531156224,-0.06881531416428618,True
2024-02-01,volume_ratio_20_63,103,2549,100,0.0561223433426583,0.07205907193836683,True
2024-02-01,mom63_volume_score,103,2549,100,-0.043287951780893535,-0.055580174412870706,True
2024-02-01,down_day_excess_63,103,2549,102,-0.06978605143774383,-0.08960278208883427,True
2024-02-01,residual_strength_21_126b,103,2549,99,0.02347766328036345,0.03014447591639587,True
2024-02-01,residual_strength_63_126b,103,2549,96,-0.04695645325330907,-0.060290398465576385,True
2024-02-01,residual_strength_126_126b,103,2549,90,-0.08115248661204785,-0.10419687636795531,True
2024-03-03,rel_mom_21,103,2549,102,0.02826941740116535,0.036296916002399496,True
2024-03-03,rel_mom_63,103,2549,100,-0.05096777910483149,-0.06544079670070099,True
2024-03-03,rel_mom_126,103,2549,96,-0.10779835719992976,-0.13840921660880115,True
2024-03-03,ratio_vs_sma50,103,2549,101,0.00564458220809729,0.0072474407013248246,True
2024-03-03,ratio_vs_sma200,103,2549,89,-0.10229769943875375,-0.13134656972499512,True
2024-03-03,sma50_vs_sma200,103,2549,89,-0.1094812316372338,-0.1405699669074929,True
2024-03-03,vol_adj_rel_mom_63,103,2549,100,-0.053595981531156224,-0.06881531416428618,True
2024-03-03,volume_ratio_20_63,103,2549,100,0.0561223433426583,0.07205907193836683,True
2024-03-03,mom63_volume_score,103,2549,100,-0.043287951780893535,-0.055580174412870706,True
2024-03-03,down_day_excess_63,103,2549,102,-0.06978605143774383,-0.08960278208883427,True
2024-03-03,residual_strength_21_126b,103,2549,99,0.02347766328036345,0.03014447591639587,True
2024-03-03,residual_strength_63_126b,103,2549,96,-0.04695645325330907,-0.060290398465576385,True
2024-03-03,residual_strength_126_126b,103,2549,90,-0.08115248661204785,-0.10419687636795531,True
2024-04-01,rel_mom_21,104,2574,103,0.02877165606717345,0.037789867314888516,True
2024-04-01,rel_mom_63,104,2574,101,-0.04897799911369454,-0.06432970293868367,True
2024-04-01,rel_mom_126,104,2574,97,-0.10625087215345944,-0.1395542318244065,True
2024-04-01,ratio_vs_sma50,104,2574,102,0.007685774086901765,0.010094809359535056,True
2024-04-01,ratio_vs_sma200,104,2574,90,-0.09924652841934879,-0.13035444090093895,True
2024-04-01,sma50_vs_sma200,104,2574,90,-0.10880323504639275,-0.1429066094156791,True
2024-04-01,vol_adj_rel_mom_63,104,2574,101,-0.051534482856437996,-0.06768749302227811,True
2024-04-01,volume_ratio_20_63,104,2574,101,0.05549051511458933,0.07288350724474496,True
2024-04-01,mom63_volume_score,104,2574,101,-0.0410695638348527,-0.05394244128234841,True
2024-04-01,down_day_excess_63,104,2574,103,-0.06586729216314288,-0.08651278972002178,True
2024-04-01,residual_strength_21_126b,104,2574,100,0.024204425109098277,0.03179107977554241,True
2024-04-01,residual_strength_63_126b,104,2574,97,-0.04449774279153824,-0.05844515143578473,True
2024-04-01,residual_strength_126_126b,104,2574,91,-0.0789589258969535,-0.10370787576514787,True
2024-05-01,rel_mom_21,105,2599,104,0.026816011445225777,0.036008086648325825,True
2024-05-01,rel_mom_63,105,2599,102,-0.04758530379810025,-0.0638967411633455,True
2024-05-01,rel_mom_126,105,2599,98,-0.10612429339522163,-0.14250190636563995,True
2024-05-01,ratio_vs_sma50,105,2599,103,0.006110034682025199,0.008204451236308268,True
2024-05-01,ratio_vs_sma200,105,2599,91,-0.09870535777737793,-0.13253988508923467,True
2024-05-01,sma50_vs_sma200,105,2599,91,-0.10791190617436983,-0.14490228257284365,True
2024-05-01,vol_adj_rel_mom_63,105,2599,102,-0.05004130919344124,-0.06719462367151913,True
2024-05-01,volume_ratio_20_63,105,2599,102,0.054614665418895765,0.07333564906510523,True
2024-05-01,mom63_volume_score,105,2599,102,-0.04032001305819124,-0.05414103163054326,True
