date,relative_ic_equity,etf_dca_equity,etf_buy_hold_norm
2022-11-30,610369.1759509703,578334.73868094,0.9150326797385621
2022-12-01,632623.3269731003,610471.45933019,0.949673202614379
2022-12-04,658249.5469731003,628117.33933019,0.9771241830065358
2022-12-05,660658.7869731004,648284.0593301901,1.0084967320261438
2022-12-06,671925.3969731003,659207.6993301901,1.0254901960784313
2022-12-07,682423.2469731004,667190.3593301901,1.0379084967320262
2022-12-08,681274.4269731002,680214.6993301901,1.058169934640523
2022-12-11,674026.6669731002,682315.39933019,1.0614379084967318
2022-12-12,681283.3669731003,674752.87933019,1.049673202614379
2022-12-13,725365.5269731003,676853.57933019,1.052941176470588
2022-12-14,736066.5569731003,696180.01933019,1.0830065359477123
2022-12-15,735492.3569731003,706263.37933019,1.0986928104575162
2022-12-18,722461.4469731004,695339.7393301901,1.0816993464052287
2022-12-19,727083.3769731002,681895.25933019,1.0607843137254902
2022-12-20,728232.3569731001,676853.57933019,1.052941176470588
2022-12-21,731106.3369731002,667190.3593301901,1.0379084967320262
2022-12-22,719135.8969731004,668030.63933019,1.0392156862745099
2022-12-25,697016.7869731003,665089.65933019,1.0346405228758169
2022-12-26,722619.2569731002,660468.1193301901,1.0274509803921568
2022-12-27,720018.3769731002,668450.77933019,1.0398692810457515
2022-12-28,728111.3269731003,665089.65933019,1.0346405228758169
2022-12-29,728588.4469731003,669291.0593301901,1.0411764705882351
2023-01-02,750516.8676541804,679868.5108627899,1.0424836601307188
2023-01-03,753998.0276541803,695639.39086279,1.0666666666666667
2023-01-04,763567.1776541802,701606.75086279,1.0758169934640522
2023-01-05,763383.9976541803,725902.4308627901,1.1130718954248366
2023-01-09,757501.2776541803,740820.83086279,1.1359477124183006
2023-01-10,742822.0576541803,749345.6308627899,1.1490196078431372
2023-01-11,761505.0976541804,696918.11086279,1.0686274509803921
2023-01-12,766264.7976541803,725476.19086279,1.1124183006535946
2023-01-15,770840.4176541802,723771.23086279,1.1098039215686275
2023-01-16,776805.1576541802,724197.4708627899,1.110457516339869
2023-01-17,787443.7076541802,736984.67086279,1.1300653594771242
2023-01-18,782688.6976541802,743378.27086279,1.1398692810457516
2023-01-19,783470.8876541802,743804.5108627899,1.1405228758169934
2023-01-22,789048.8076541803,747214.4308627901,1.145751633986928
2023-01-23,785104.7676541801,737837.15086279,1.1313725490196076
2023-01-24,784633.3176541803,752329.31086279,1.15359477124183
2023-01-25,797231.3276541803,752329.31086279,1.15359477124183
2023-01-29,807407.6976541802,779608.67086279,1.1954248366013072
2023-01-30,786015.7276541803,807740.5108627899,1.2385620915032678
2023-01-31,762658.0976541804,790690.9108627901,1.2124183006535947
2023-02-01,761048.3596520304,773736.50207527,1.1718954248366011
2023-02-02,749207.6696520302,770715.79207527,1.1673202614379083
2023-02-05,757774.1396520303,763811.31207527,1.156862745098039
2023-02-06,768514.1996520304,764242.84207527,1.1575163398692812
2023-02-07,772539.5396520304,779346.39207527,1.180392156862745
2023-02-08,763228.7296520303,793586.88207527,1.2019607843137254
2023-02-09,773914.2196520303,796176.06207527,1.2058823529411764
2023-02-12,769949.6796520302,827246.2220752701,1.2529411764705882
2023-02-13,766865.6996520302,811711.14207527,1.2294117647058822
2023-02-14,787517.1196520304,808258.9020752701,1.2241830065359476
2023-02-15,793240.8596520304,818615.6220752699,1.2398692810457514
2023-02-16,789253.7496520305,822499.39207527,1.245751633986928
2023-02-19,777731.4096520303,821204.8020752701,1.2437908496732026
