date,core_satellite_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2023-10-25,1202936.85998466,1426037.1748701402,1285008.9245957301,1170153.6061888302,1.619607843137255
2023-10-26,1229726.7099846601,1424873.1448701401,1282660.04459573,1209347.0361888302,1.6738562091503266
2023-10-29,1231721.01998466,1397686.9125191998,1245885.4345957302,1227763.22618883,1.6993464052287581
2023-10-30,1221392.04998466,1445869.5225192,1260172.9145957301,1206985.98618883,1.6705882352941175
2023-10-31,1213346.39998466,1336746.2725192,1190701.3245957303,1224929.96618883,1.6954248366013072
2023-11-01,1188570.30894018,1324822.96366558,1193775.24957268,1188303.33470423,1.6313725490196078
2023-11-02,1185726.8189401801,1348996.3186616,1198804.9025538804,1182114.29470423,1.6228758169934638
2023-11-05,1201418.43894018,1377631.62350554,1225804.0325538802,1193064.1347042301,1.6379084967320259
2023-11-06,1218605.1989401802,1371704.8526512,1228593.3725538803,1216392.0547042303,1.6699346405228759
2023-11-07,1228083.5989401801,1394933.2604003001,1261648.5025538802,1215915.9747042302,1.6692810457516338
2023-11-08,1248306.6789401802,1420913.0404002997,1287063.4425538804,1234007.0147042302,1.6941176470588235
2023-11-09,1278622.64894018,1427194.5104003,1317229.00255388,1264476.1347042301,1.7359477124183005
2023-11-12,1284726.30894018,1409774.2304003,1297293.5525538803,1281615.0147042302,1.7594771241830065
2023-11-13,1270675.5989401801,1410962.0604003,1300577.0125538802,1260191.4147042301,1.730065359477124
2023-11-14,1271218.6789401802,1422982.2604003,1295653.5025538802,1263047.8947042301,1.7339869281045752
2023-11-15,1270414.3189401801,1431353.9304002998,1300830.0025538802,1259715.33470423,1.7294117647058824
2023-11-16,1284623.9089401802,1450587.0404003,1319459.1825538804,1272093.4147042301,1.7464052287581697
2023-11-19,1300350.6789401802,1468947.3004003,1342085.8225538803,1284947.57470423,1.764052287581699
2023-11-20,1323208.03894018,1453868.8304003,1330246.4025538804,1322557.8947042301,1.815686274509804
2023-11-21,1325965.91894018,1442330.7104002999,1336158.5525538803,1323986.1347042301,1.8176470588235292
2023-11-22,1313456.29894018,1451178.3804003,1342379.9625538804,1303514.6947042302,1.7895424836601306
2023-11-23,1327278.9489401802,1451795.9904003001,1354105.4725538804,1318273.1747042302,1.8098039215686275
2023-11-26,1359368.73894018,1448887.3404003,1341856.3725538803,1369213.7347042302,1.8797385620915033
2023-11-27,1336982.29894018,1478243.2904003,1354213.8625538803,1332079.4947042302,1.8287581699346405
2023-11-28,1358439.8889401802,1443665.4304002998,1334235.1825538804,1371118.0547042303,1.8823529411764706
2023-11-29,1319825.26894018,1430295.6304003,1318871.9325538801,1322557.8947042301,1.815686274509804
2023-11-30,1306214.6789401802,1451549.4304002998,1316874.7425538802,1303990.7747042303,1.7901960784313724
2023-12-03,1315324.18356497,1480657.71936681,1327728.72098423,1312379.61422403,1.788235294117647
2023-12-04,1316836.32356497,1518127.06364954,1353239.5609842304,1303745.55422403,1.776470588235294
2023-12-05,1339676.45356497,1494714.44196587,1344060.0509842301,1340200.47422403,1.8261437908496732
2023-12-06,1326251.7835649701,1463267.0243838402,1315816.0809842302,1333005.42422403,1.8163398692810455
2023-12-07,1306782.3535649702,1455998.56860653,1303500.1609842302,1310460.93422403,1.7856209150326796
2023-12-10,1300025.39356497,1421279.7846549498,1282980.0509842301,1309501.5942240302,1.784313725490196
2023-12-11,1278165.76356497,1391637.0227041703,1270563.04098423,1283599.4142240302,1.7490196078431373
2023-12-12,1276756.01356497,1390458.38270417,1266944.68098423,1283119.74422403,1.7483660130718954
2023-12-13,1284519.9935649699,1459432.5827041701,1306702.04098423,1277363.70422403,1.7405228758169933
2023-12-14,1327742.47356497,1455380.4027041702,1301588.5809842302,1341159.8142240301,1.8274509803921568
2023-12-17,1339985.11356497,1485256.3427041702,1323561.1009842302,1349314.20422403,1.8385620915032679
2023-12-18,1326524.2835649701,1523215.48270417,1358680.7009842303,1315257.6342240302,1.7921568627450981
2023-12-19,1347337.0635649702,1513143.46270417,1361906.5509842301,1343558.1642240302,1.830718954248366
2023-12-20,1334529.94356497,1498153.98270417,1350487.6809842302,1330127.40422403,1.8124183006535948
2023-12-21,1324743.71356497,1468669.6227041704,1346964.7109842303,1317655.98422403,1.795424836601307
2023-12-24,1327537.8435649702,1434228.18270417,1333694.0009842298,1327249.3842240302,1.8084967320261438
2023-12-25,1284554.66356497,1448089.0127041698,1338498.60098423,1263932.94422403,1.7222222222222223
2023-12-26,1295837.5735649702,1433643.26270417,1326647.0609842301,1285038.42422403,1.7509803921568625
2023-12-27,1297491.19356497,1470732.77270417,1360542.0809842302,1273046.67422403,1.7346405228758168
2023-12-28,1312179.22356497,1476954.46270417,1366981.12098423,1291274.1342240302,1.7594771241830065
2023-12-31,1329065.15356497,1480045.7327041698,1383063.2509842303,1308542.25422403,1.7830065359477123
2024-01-02,1353157.67074994,1527551.2378161498,1417792.1526985806,1328486.27170101,1.7967320261437907
2024-01-03,1374650.8907499402,1537557.11386558,1414224.0026985805,1360381.4317010099,1.8398692810457515
2024-01-04,1366889.06074994,1523721.05463289,1399365.7426985805,1355548.83170101,1.8333333333333333
2024-01-08,1374034.77074994,1516317.3094268101,1393438.1226985804,1368113.5917010098,1.8503267973856208
2024-01-09,1366759.25074994,1534570.92547523,1408241.4926985803,1351682.75170101,1.8281045751633986
2024-01-10,1367569.8307499401,1536971.10344942,1406355.9526985807,1353615.79170101,1.830718954248366
2024-01-11,1380110.6707499402,1550370.3734494199,1417726.3126985806,1366663.81170101,1.8483660130718955
2024-01-14,1390012.8907499402,1583905.5934494198,1446923.3726985804,1368596.85170101,1.8509803921568626
2024-01-15,1397731.06074994,1607507.0934494198,1469802.0826985806,1370046.63170101,1.8529411764705883
2024-01-16,1440887.1407499402,1703308.49344942,1546196.8426985804,1399525.49170101,1.8928104575163398
2024-01-17,1471586.9807499403,1679774.14344942,1534406.2926985805,1447851.49170101,1.9581699346405228
2024-01-18,1462944.9007499402,1719310.6834494201,1557458.5826985806,1426104.79170101,1.9287581699346406
2024-01-21,1526160.11074994,1870479.4334494201,1674410.6026985806,1467181.8917010098,1.984313725490196
2024-01-22,1549257.70074994,1860291.45344942,1669324.8426985804,1501976.6117010098,2.0313725490196077
2024-01-23,1537329.8907499402,1819319.1934494202,1643754.9826985805,1495694.23170101,2.022875816993464
2024-01-24,1525438.2007499402,1840047.8434494198,1667314.8526985806,1469114.9317010099,1.9869281045751632
2024-01-28,1578812.1007499401,1936049.4734494197,1756478.6626985802,1507775.73170101,2.0392156862745097
2024-01-29,1590404.9907499403,1935461.21344942,1761109.6626985804,1522273.53170101,2.0588235294117645
2024-01-30,1625197.8507499401,1997633.4534494197,1799515.4026985804,1555618.47170101,2.1039215686274506
2024-01-31,1543058.5107499403,1780219.68344942,1611970.1726985804,1516957.67170101,2.0516339869281044
2024-02-01,1571391.98979738,1869387.1589115402,1682604.7758337206,1527905.6451753802,2.052941176470588
2024-02-04,1554611.7497973803,1904118.95573628,1696960.1489870003,1498233.4151753802,2.0130718954248366
2024-02-05,1557277.5797973801,1927965.42707882,1714286.3517761203,1494828.4051753802,2.0084967320261438
2024-02-06,1563092.5397973803,1937209.6220228,1741263.1742901308,1491909.82517538,2.004575163398693
2024-02-07,1544060.87979738,1923803.6480712201,1758433.6374794105,1457859.72517538,1.9588235294117646
2024-02-08,1594490.24979738,1920463.4361204403,1756915.5608687701,1529851.36517538,2.0555555555555554
2024-02-11,1589733.5897973801,1944134.1561204402,1768886.6908687705,1518177.04517538,2.0398692810457515
2024-02-12,1578953.8097973801,1939762.7861204399,1759045.3708687702,1506989.1551753802,2.0248366013071895
2024-02-13,1595562.3197973804,1967267.72612044,1778237.8908687707,1522554.9151753802,2.045751633986928
2024-02-14,1601522.2697973803,2000201.25612044,1784527.2308687705,1528392.07517538,2.05359477124183
2024-02-15,1615810.5597973801,2031537.07612044,1799332.6808687705,1542498.54517538,2.072549019607843
2024-02-18,1633250.62979738,2023310.29612044,1794315.2908687706,1569252.19517538,2.1084967320261434
2024-02-19,1630159.91979738,2059567.6261204404,1815502.1608687704,1556118.5851753799,2.090849673202614
