date,open,high,low,close,volume
2023-04-13,16741.44921875,17671.26953125,16741.44921875,17671.26953125,126238160.0
2023-04-18,17671.26953125,17671.26953125,17175.23046875,17538.970703125,138292752.0
2023-04-19,17538.970703125,17644.109375,17427.58984375,17516.0390625,177568592.0
2023-04-26,17516.0390625,17557.1796875,17361.470703125,17452.220703125,147567184.0
2023-04-27,17452.220703125,17851.150390625,17452.220703125,17796.91015625,249076944.0
2023-04-30,17796.91015625,18142.58984375,17613.849609375,17667.740234375,268102608.0
2023-05-01,17667.740234375,17691.8203125,17294.330078125,17310.830078125,177160624.0
2023-05-02,17310.830078125,17367.169921875,17207.9609375,17300.560546875,132495408.0
2023-05-03,17300.560546875,17420.51953125,17205.080078125,17295.26953125,140981632.0
2023-05-07,17295.26953125,17296.630859375,17109.599609375,17235.310546875,108862720.0
2023-05-08,17235.310546875,17642.970703125,17235.310546875,17642.970703125,183729824.0
2023-05-09,17642.970703125,17832.740234375,17276.109375,17326.26953125,252189088.0
2023-05-10,17326.26953125,17494.73046875,17204.4296875,17494.73046875,215061376.0
2023-05-11,17494.73046875,17556.439453125,17204.9296875,17270.689453125,170673264.0
2023-05-14,17270.689453125,17373.279296875,17151.669921875,17369.130859375,181618864.0
2023-05-15,17369.130859375,17523.490234375,17135.55078125,17135.55078125,186515152.0
2023-05-16,17135.55078125,17139.509765625,16903.1796875,17033.990234375,190109440.0
2023-05-17,17033.990234375,17105.5703125,16807.099609375,16844.009765625,152589936.0
2023-05-18,16844.009765625,16875.30078125,16562.58984375,16745.5390625,141100480.0
2023-05-21,16745.5390625,16937.009765625,16745.3203125,16860.880859375,131395280.0
2023-05-22,16860.880859375,17034.880859375,16748.810546875,16764.41015625,122158432.0
2023-05-23,16764.41015625,16790.330078125,16636.859375,16787.7109375,155955120.0
2023-05-24,16787.7109375,17090.560546875,16787.7109375,17090.560546875,174918000.0
2023-05-25,17090.560546875,17240.66015625,17043.619140625,17043.619140625,152078352.0
2023-05-28,17043.619140625,17161.310546875,17043.619140625,17131.44921875,147486912.0
2023-05-29,17131.44921875,17217.130859375,17065.029296875,17211.83984375,174918000.0
2023-05-30,17211.83984375,17544.849609375,17211.83984375,17534.58984375,250901040.0
2023-05-31,17534.58984375,17747.0703125,17495.76953125,17495.76953125,269804288.0
2023-06-01,17495.76953125,17629.169921875,17495.76953125,17533.310546875,261471440.0
2023-06-04,17533.310546875,17706.609375,17452.890625,17455.48046875,398420288.0
2023-06-05,17455.48046875,17570.55078125,17341.279296875,17345.900390625,311899296.0
2023-06-06,17345.900390625,17637.94921875,17345.900390625,17491.1796875,352836416.0
2023-06-07,17491.1796875,17602.01953125,17315.75,17347.5703125,331487488.0
2023-06-08,17347.5703125,17521.359375,17304.720703125,17521.359375,180677792.0
2023-06-11,17521.359375,17825.9609375,17521.359375,17739.630859375,398420288.0
2023-06-12,17739.630859375,17856.2109375,17655.279296875,17704.580078125,107103200.0
2023-06-13,17704.580078125,17949.169921875,17704.580078125,17866.810546875,294667904.0
2023-06-14,17866.810546875,18056.5390625,17848.619140625,17873.279296875,245981296.0
2023-06-15,17873.279296875,17892.2890625,17739.669921875,17881.51953125,183656784.0
2023-06-18,17881.51953125,18096.19921875,17881.51953125,18026.169921875,134601168.0
2023-06-19,18026.169921875,18217.669921875,17872.609375,17988.94921875,201131440.0
2023-06-20,17988.94921875,18071.470703125,17860.9296875,17921.919921875,138645216.0
2023-06-21,17921.919921875,17933.509765625,17685.240234375,17706.080078125,124580360.0
2023-06-22,17706.080078125,17720.400390625,17579.970703125,17712.9296875,151617808.0
2023-06-25,17712.9296875,17743.130859375,17287.640625,17287.640625,153032112.0
2023-06-26,17287.640625,17665.2890625,17287.640625,17665.2890625,118383496.0
2023-07-04,17665.2890625,17729.98046875,17376.5,17466.1796875,93576256.0
2023-07-05,17466.1796875,17564.240234375,17380.330078125,17380.330078125,104716144.0
2023-07-06,17380.330078125,17430.0703125,17078.650390625,17102.30078125,116180256.0
2023-07-09,17102.30078125,17104.240234375,16555.119140625,16555.119140625,170772768.0
2023-07-10,16555.119140625,16970.349609375,16555.119140625,16963.130859375,135184240.0
2023-07-11,16963.130859375,17223.83984375,16903.9609375,17155.23046875,140619472.0
2023-07-12,17155.23046875,17205.7109375,17063.099609375,17144.220703125,134500464.0
2023-07-13,17144.220703125,17448.939453125,17144.220703125,17342.2890625,137215568.0
2023-07-16,17342.2890625,17437.240234375,17342.2890625,17343.130859375,100260944.0
2023-07-17,17343.130859375,17667.810546875,17324.439453125,17512.009765625,123568808.0
2023-07-18,17512.009765625,17671.130859375,17512.009765625,17608.3203125,139846256.0
2023-07-19,17608.3203125,17624.23046875,17530.51953125,17578.669921875,97969168.0
2023-07-24,17578.669921875,17725.140625,17528.75,17550.23046875,71906456.0
2023-07-25,17550.23046875,17761.4296875,17441.6796875,17479.939453125,108097264.0
2023-07-26,17479.939453125,17549.109375,17396.240234375,17396.240234375,69040704.0
2023-07-27,17396.240234375,17422.109375,17304.990234375,17339.060546875,75721480.0
2023-07-30,17339.060546875,17617.240234375,17334.4609375,17554.560546875,94799696.0
2023-07-31,17554.560546875,17630.119140625,17522.990234375,17595.919921875,121838352.0
2023-08-01,17595.919921875,17663.919921875,17499.060546875,17514.109375,336682144.0
2023-08-02,17514.109375,17610.400390625,17427.890625,17455.599609375,480960384.0
2023-08-03,17455.599609375,17506.509765625,17380.5390625,17451.439453125,294840352.0
2023-08-06,17451.439453125,17708.060546875,17451.439453125,17697.490234375,305662688.0
2023-08-07,17697.490234375,17865.7890625,17697.490234375,17839.48046875,359642400.0
2023-08-08,17839.48046875,17938.140625,17748.890625,17748.890625,395740704.0
2023-08-09,17748.890625,17910.099609375,17746.30078125,17763.630859375,299073056.0
2023-08-10,17763.630859375,17813.0703125,17693.51953125,17710.19921875,217746928.0
2023-08-13,17710.19921875,17856.75,17710.19921875,17856.0703125,209000336.0
2023-08-14,17856.0703125,18066.7109375,17856.0703125,17897.5,288830688.0
2023-08-15,17897.5,17978.740234375,17885.439453125,17965.3203125,188306528.0
2023-08-16,17965.3203125,18166.69921875,17936.390625,18062.5,220478720.0
2023-08-17,18062.5,18130.44921875,17956.880859375,17969.26953125,162621072.0
2023-08-20,17969.26953125,18101.099609375,17969.26953125,18033.220703125,157448864.0
2023-08-21,18033.220703125,18123.51953125,17899.689453125,17920.48046875,187225280.0
2023-08-22,17920.48046875,18256.740234375,17920.48046875,18216.630859375,169645632.0
2023-08-23,18216.630859375,18322.060546875,18130.609375,18133.419921875,226100784.0
2023-08-24,18133.419921875,18237.140625,18133.419921875,18207.8203125,193817712.0
2023-08-27,18207.8203125,18516.58984375,18207.8203125,18516.58984375,134129040.0
2023-08-28,18516.58984375,18757.119140625,18516.58984375,18584.83984375,272190784.0
2023-08-29,18584.83984375,18709.859375,18584.83984375,18629.33984375,220657536.0
2023-08-30,18629.33984375,18832.189453125,18629.33984375,18818.150390625,150626048.0
